,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.105917,0.0,-0.0792082,-33,14.807
1,-0.105917,0.0,-0.0792082,-33,0.107
2,-0.105917,0.0,-0.0470152,-17,9.881
3,-0.105917,0.0,0.0612283,-33,8.16
4,-0.105917,0.0,-0.103641,-49,12.798
5,-0.105917,0.0,-0.0175748,-82,6.778
6,-0.105917,-0.897599,0.017333,-114,10.027
7,-0.106814,0.0,-0.0972446,-49,9.922
8,-0.106814,0.0,0.052299,-98,10.067
9,-0.106814,0.0,-0.0547773,-33,10.0
10,-0.106814,0.0,-0.00583255,-114,10.499
11,-0.106814,0.0,0.0387175,-49,9.634
12,-0.106814,0.0,-0.0803825,-49,9.9
13,-0.106814,0.0,0.0625344,-49,10.055
14,-0.106814,0.0,-0.0339467,-49,10.003
15,-0.106814,0.0,0.00847738,-146,10.113
16,-0.106814,0.0,0.0655303,-114,9.88
17,-0.106814,0.0,-0.0581678,-114,10.1
18,-0.106814,0.0,0.0830996,-114,9.881
19,-0.106814,0.0,-0.0433922,-114,9.964
20,-0.106814,0.0,0.0290891,-49,10.012
21,-0.106814,0.0,0.0454285,-33,10.31
22,-0.106814,0.0,-0.056324,-49,9.856
23,-0.106814,0.0,0.0956523,-114,10.003
24,-0.106814,0.0,-0.0375907,-33,9.74
25,-0.105917,0.897599,0.041525,-33,10.605
26,-0.105019,0.0,0.0699937,-114,9.404
27,-0.102326,0.897599,-0.0134234,-17,10.035
28,-0.0978383,0.0,0.0953142,-210,9.876
29,-0.0843743,1.7952,-0.0175951,-49,10.226
30,-0.0825791,0.897599,0.0779101,-146,9.883
31,-0.0682175,1.7952,-0.009826,-114,10.109
32,-0.0529583,2.6928,0.0927008,-356,9.76
33,-0.035904,2.6928,0.172167,-307,10.225
34,-0.0143616,1.7952,0.148587,-533,9.919
35,0.00628319,1.7952,0.109854,-694,9.958
36,0.026928,1.7952,0.0826211,-823,9.94
37,0.0448799,1.7952,0.135069,-984,10.062
38,0.0619343,1.7952,0.070987,-1177,10.003
39,0.0753983,0.897599,0.130441,-1371,10.078
40,0.0843743,0.897599,0.29411,-1580,9.87
41,0.0888623,0.0,0.274168,-1709,10.415
42,0.0897599,0.0,0.15775,-1757,9.85
43,0.0897599,0.0,0.320575,-1822,9.866
44,0.0897599,0.0,0.23986,-1773,9.953
45,0.0897599,0.0,0.282025,-1725,10.595
46,0.0915551,0.897599,0.251033,-1677,9.35
47,0.0996335,0.897599,0.332197,-1628,10.735
48,0.108609,0.897599,0.353845,-1580,9.165
49,0.109507,1.7952,0.19701,-1693,10.195
50,0.130152,0.897599,0.316484,-1709,10.116
51,0.131947,1.7952,0.217845,-1725,9.848
52,0.152592,0.897599,0.357601,-1757,9.842
53,0.154387,0.897599,0.34773,-1854,10.302
54,0.164261,0.0,0.218961,-1918,9.758
55,0.171441,0.897599,0.328138,-2015,10.207
56,0.182213,0.897599,0.313561,-1967,9.972
57,0.182213,0.0,0.241584,-1983,10.336
58,0.184905,0.0,0.399052,-2047,9.594
59,0.186701,0.0,0.267774,-2080,10.03
60,0.187598,0.0,0.277611,-2047,9.894
61,0.188496,0.0,0.345628,-1983,10.299
62,0.190291,0.897599,0.215389,-1967,9.735
63,0.192984,0.0,0.365395,-1918,10.092
64,0.197472,0.897599,0.218424,-1854,9.98
65,0.202857,0.897599,0.309666,-1967,10.084
66,0.215424,0.897599,0.325824,-1806,9.886
67,0.216321,0.0,0.24234,-1918,10.132
68,0.222605,0.0,0.369112,-1935,9.853
69,0.228888,0.0,0.308777,-2015,9.945
70,0.233376,0.897599,0.288032,-1918,10.043
71,0.237864,0.897599,0.34987,-1886,10.242
72,0.240556,0.0,0.249247,-1918,9.932
73,0.242352,0.0,0.353775,-2015,10.244
74,0.243249,0.0,0.209454,-1999,9.669
75,0.243249,0.0,0.271907,-1886,10.037
76,0.244147,0.0,0.325913,-1886,10.054
77,0.245044,0.0,0.237203,-1854,10.101
78,0.245942,0.897599,0.370722,-1806,9.702
79,0.247737,0.0,0.213584,-1773,10.299
80,0.249532,0.0,0.290333,-1725,9.881
81,0.251328,0.0,0.319431,-1741,9.986
82,0.25402,0.0,0.199263,-1725,10.421
83,0.255816,0.897599,0.322175,-1628,9.635
84,0.258508,0.897599,0.192598,-1645,9.817
85,0.261201,0.0,0.2537,-1596,10.281
86,0.262996,0.0,0.303865,-1693,9.684
87,0.264792,0.0,0.163835,-1661,10.068
88,0.265689,0.0,0.304572,-1596,9.959
89,0.265689,0.0,0.19672,-1564,10.01
90,0.265689,0.0,0.218972,-1564,10.043
91,0.265689,0.0,0.270634,-1516,10.009
92,0.265689,0.0,0.147635,-1500,10.007
93,0.265689,0.0,0.275911,-1500,10.136
94,0.265689,0.0,0.144692,-1451,9.947
95,0.265689,0.0,0.190968,-1403,10.012
96,0.266587,0.0,0.273456,-1322,9.981
97,0.266587,0.0,0.146493,-1355,10.141
98,0.268382,0.0,0.276541,-1355,9.594
99,0.270177,0.0,0.12953,-1306,10.192
100,0.273768,0.0,0.216976,-1258,10.04
101,0.277358,0.0,0.234446,-1258,9.934
102,0.280948,0.897599,0.140374,-1242,9.889
103,0.283641,0.0,0.255597,-1242,10.011
104,0.285436,0.0,0.112485,-1242,10.153
105,0.285436,0.0,0.163647,-1371,10.068
106,0.285436,0.0,0.201763,-1258,9.772
107,0.285436,0.0,0.0661329,-1274,10.262
108,0.285436,0.0,0.19975,-1242,9.862
109,0.283641,-0.897599,0.0506081,-1210,9.893
110,0.281846,0.0,0.146037,-1274,10.127
111,0.280051,0.0,0.194373,-1226,9.992
112,0.279153,0.0,0.0398999,-1145,9.926
113,0.279153,0.0,0.207864,-1113,10.041
114,0.279153,0.0,0.107264,-1081,9.955
115,0.279153,0.0,0.103513,-1113,10.115
116,0.279153,0.0,0.168328,-1048,10.206
117,0.279153,0.0,0.0182591,-1016,9.91
118,0.279153,0.0,0.167934,-984,9.889
119,0.279153,0.0,0.0754505,-952,10.547
120,0.279153,0.0,0.103347,-968,9.388
121,0.279153,0.0,0.158787,-936,10.146
122,0.279153,0.0,0.014176,-984,9.931
123,0.279153,0.0,0.18015,-968,9.921
124,0.279153,0.0,0.0560514,-887,9.971
125,0.279153,0.0,0.0859238,-919,10.062
126,0.279153,0.0,0.194342,-919,9.907
127,0.279153,0.0,0.0485806,-903,10.22
128,0.279153,0.0,0.177897,-887,9.787
129,0.279153,0.0,0.0914625,-887,10.123
130,0.279153,0.0,0.0959551,-855,9.841
131,0.279153,0.0,0.186868,-823,10.121
132,0.279153,0.0,0.0306762,-839,9.918
133,0.279153,0.0,0.179556,-839,10.282
134,0.279153,0.0,0.0895453,-758,9.796
135,0.279153,0.0,0.0901178,-791,9.97
136,0.279153,0.897599,0.128235,-758,9.92
137,0.280051,0.0,0.0373796,-791,10.008
138,0.280948,0.0,0.200664,-758,10.154
139,0.282744,0.0,0.0521588,-710,10.089
140,0.283641,0.0,0.0831121,-694,9.785
141,0.284539,0.0,0.14914,-758,10.221
142,0.284539,0.0,-0.000405117,-710,9.904
143,0.284539,0.0,0.153088,-726,9.9
144,0.284539,0.0,0.0508087,-710,9.981
145,0.284539,0.0,0.0599909,-678,10.18
146,0.284539,0.0,0.15826,-710,9.815
147,0.284539,0.0,0.0248762,-694,10.244
148,0.284539,0.0,0.164518,-694,9.792
149,0.284539,0.0,0.0627908,-662,9.895
150,0.284539,0.0,0.102154,-694,10.065
151,0.284539,0.0,0.141747,-678,10.199
152,0.284539,0.0,-0.00761194,-597,9.854
153,0.284539,0.0,0.141635,-662,10.126
154,0.284539,0.0,0.0408379,-565,10.111
155,0.284539,0.0,0.0511109,-629,9.738
156,0.284539,0.0,0.131134,-565,10.618
157,0.284539,0.0,0.00288875,-565,9.426
158,0.284539,0.0,0.138336,-597,10.004
159,0.284539,0.0,0.0147925,-565,10.281
160,0.284539,0.0,0.042157,-678,9.645
161,0.284539,0.0,0.124657,-613,10.122
162,0.284539,0.0,-0.0197344,-613,9.87
163,0.284539,0.0,0.126878,-581,10.366
164,0.284539,0.0,-0.00159868,-565,9.85
165,0.284539,0.0,0.0227718,-436,9.792
166,0.284539,0.0,0.131597,-517,10.001
167,0.284539,0.0,-0.0311716,-501,10.165
168,0.284539,0.0,0.132833,-565,9.836
169,0.284539,0.0,0.00990707,-597,10.117
170,0.284539,0.0,0.0608882,-533,16.688
171,0.284539,0.0,0.0748695,-565,3.403
172,0.284539,0.0,-0.024925,-501,10.194
173,0.284539,0.0,0.117758,-549,12.194
174,0.283641,0.0,0.0119705,-484,7.432
175,0.283641,0.0,0.0382759,-533,10.18
176,0.282744,-0.897599,0.0956326,-420,9.672
177,0.280948,0.0,-0.0414278,-565,10.144
178,0.280948,0.0,0.113919,-501,10.275
179,0.280051,0.0,0.0138313,-484,9.815
180,0.280051,0.0,0.0440424,-501,10.068
181,0.280051,0.0,0.0776072,-517,9.851
182,0.280051,0.0,-0.0570951,-436,9.985
183,0.280051,0.0,0.0980509,-420,10.036
184,0.280051,-0.897599,-0.0304878,-468,9.793
185,0.279153,0.0,0.0469802,-436,10.602
186,0.278256,0.0,0.0919595,-436,9.691
187,0.277358,0.0,-0.032237,-436,10.558
