,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.174134,0.0,-0.0766864,80,10.532
1,-0.174134,0.0,-0.0869901,80,9.987
2,-0.174134,0.0,0.00958144,80,9.57
3,-0.174134,0.0,0.0140613,176,9.914
4,-0.174134,0.0,-0.0617324,80,10.031
5,-0.174134,0.0,0.0560072,160,9.979
6,-0.174134,0.0,-0.0993349,96,10.325
7,-0.174134,0.0,0.000763518,80,10.221
8,-0.174134,0.0,-0.0326842,80,9.662
9,-0.174134,0.0,-0.0761855,176,9.889
10,-0.174134,0.0,0.054622,80,10.13
11,-0.174134,0.0,-0.0996221,80,9.854
12,-0.174134,0.0,0.0254301,176,9.963
13,-0.174134,0.0,0.00796396,96,9.955
14,-0.174134,0.0,-0.0652699,80,10.047
15,-0.174134,0.0,0.0644829,80,9.973
16,-0.174134,0.0,-0.0890353,96,10.352
17,-0.174134,0.0,0.00405075,96,9.711
18,-0.174134,0.0,0.0160898,96,9.954
19,-0.174134,0.0,-0.0765281,160,9.975
20,-0.173237,0.0,0.0581017,176,10.227
21,-0.173237,0.0,-0.0907607,96,9.859
22,-0.173237,0.0,0.0079521,176,10.083
23,-0.173237,0.0,0.00403753,112,9.92
24,-0.173237,0.0,-0.0562711,208,9.987
25,-0.172339,0.897599,0.0613876,160,9.824
26,-0.170544,0.0,-0.0827534,80,10.181
27,-0.168749,0.0,0.0334087,192,9.834
28,-0.165158,0.897599,-0.022512,31,10.071
29,-0.16067,0.0,-0.0424928,192,9.863
30,-0.154387,0.897599,0.0892694,144,10.197
31,-0.147206,0.897599,-0.070973,-1,9.934
32,-0.129254,0.897599,0.0754527,15,10.282
33,-0.127459,0.897599,0.00731031,-49,9.807
34,-0.116688,0.897599,0.00429342,-259,9.915
35,-0.106814,0.897599,0.126255,-372,10.059
36,-0.0978383,0.897599,-0.0113958,-339,9.964
37,-0.0888623,0.897599,0.114996,-307,9.907
38,-0.0798863,0.897599,0.0637817,-533,10.202
39,-0.0700127,1.7952,0.0782558,-597,9.819
40,-0.0601391,0.897599,0.0365546,-694,10.114
41,-0.0475727,0.897599,0.0365546,-871,9.918
42,-0.0350064,1.7952,0.183328,-919,10.554
43,-0.02244,1.7952,0.217186,-1000,9.504
44,-0.0116688,0.897599,0.107459,-1032,10.611
45,-0.000897599,0.897599,0.256519,-1177,9.366
46,0.00538559,0.0,0.114469,-1338,10.043
47,0.0107712,0.0,0.2403,-1338,9.901
48,0.0143616,0.0,0.208078,-1403,10.156
49,0.0170544,0.0,0.184997,-1403,9.982
50,0.0197472,0.897599,0.300895,-1467,10.129
51,0.0242352,0.897599,0.242888,-1467,9.727
52,0.0296208,0.897599,0.274799,-1403,10.071
53,0.0376992,0.897599,0.195884,-1467,10.153
54,0.0466751,0.897599,0.158122,-1500,9.985
55,0.0682175,0.897599,0.197028,-1483,11.12
56,0.0798863,0.897599,0.296405,-1532,9.011
57,0.0816815,0.897599,0.133493,-1532,9.698
58,0.0906575,0.897599,0.219803,-1822,10.184
59,0.0978383,0.0,0.210566,-1886,9.902
60,0.102326,0.0,0.358819,-1838,9.889
61,0.105019,0.0,0.205349,-1918,9.993
62,0.107712,0.0,0.312647,-1886,10.041
63,0.107712,0.0,0.281481,-1870,9.992
64,0.109507,0.897599,0.266678,-1854,10.191
65,0.116688,0.897599,0.273084,-1838,9.872
66,0.117585,0.897599,0.293096,-1806,10.032
67,0.128357,0.897599,0.343324,-1854,9.959
68,0.129254,0.897599,0.261748,-1870,10.03
69,0.135537,0.897599,0.230919,-1822,9.965
70,0.147206,0.0,0.364706,-1886,10.277
71,0.147206,0.897599,0.202553,-1886,9.596
72,0.158875,0.0,0.337025,-1886,10.198
73,0.158875,0.897599,0.259449,-1886,9.947
74,0.169646,0.897599,0.228374,-1935,10.224
75,0.170544,0.897599,0.211882,-1935,9.702
76,0.175032,0.0,0.21475,-1951,10.312
77,0.178622,0.897599,0.361411,-2064,9.849
78,0.181315,0.897599,0.274935,-2015,9.783
79,0.189393,0.0,0.277655,-1983,10.828
80,0.189393,0.0,0.392538,-2015,9.184
81,0.193881,0.897599,0.347083,-2015,10.054
82,0.199267,0.0,0.353396,-1983,10.261
83,0.203755,0.0,0.213064,-1918,9.652
84,0.208243,0.897599,0.235117,-1951,10.22
85,0.210936,0.897599,0.361509,-1918,9.786
86,0.213629,0.0,0.211348,-1951,10.121
87,0.214526,0.0,0.314498,-1983,10.047
88,0.215424,0.0,0.27248,-1999,10.106
89,0.216321,0.0,0.227212,-1935,9.92
90,0.217219,0.0,0.355769,-1886,9.886
91,0.219912,0.0,0.189905,-1854,9.978
92,0.223502,0.0,0.32633,-1822,10.14
93,0.227093,0.897599,0.241085,-1773,9.763
94,0.229785,0.0,0.238421,-1773,10.092
95,0.232478,0.0,0.347728,-1790,10.116
96,0.233376,0.0,0.166531,-1838,10.058
97,0.233376,0.0,0.281708,-1725,10.174
98,0.233376,0.0,0.263987,-1757,9.731
99,0.233376,0.0,0.178547,-1757,10.044
100,0.233376,0.0,0.329168,-1725,10.15
101,0.233376,0.0,0.172357,-1628,9.768
102,0.233376,0.0,0.275858,-1612,10.127
103,0.234273,0.0,0.225293,-1564,9.929
104,0.236069,0.0,0.183216,-1580,10.119
105,0.237864,0.897599,0.310646,-1532,9.762
106,0.240556,0.0,0.166734,-1532,10.103
107,0.243249,0.0,0.244366,-1451,9.907
108,0.244147,0.897599,0.229695,-1564,10.075
109,0.245942,0.0,0.160874,-1451,9.948
110,0.245942,0.0,0.293721,-1435,10.312
