,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.15708,0.0,-0.0962922,47,10.351
1,-0.15708,0.0,0.0541945,47,7.368
2,-0.15708,0.0,-0.0985761,15,12.447
3,-0.15708,0.0,-0.0691013,15,7.755
4,-0.15708,0.0,-0.0456383,-17,9.939
5,-0.15708,0.0,-0.100452,-17,10.056
6,-0.15708,0.0,0.0196755,-33,10.013
7,-0.15708,0.0,-0.049086,-146,10.528
8,-0.15708,0.0,-0.0491598,-33,9.844
9,-0.15708,0.0,0.041884,-17,9.72
10,-0.15708,0.0,-0.106284,-33,9.837
11,-0.15708,0.0,0.047568,-49,9.943
12,-0.15708,0.0,-0.0405216,-17,10.088
13,-0.15708,0.0,-0.0501566,-17,10.283
14,-0.15708,0.0,0.0586841,-33,9.641
15,-0.15708,0.0,-0.102858,-65,10.022
16,-0.15708,0.0,0.0221247,-17,10.079
17,-0.15708,0.0,-0.0464154,-17,9.949
18,-0.15708,0.0,-0.0721321,-49,10.07
19,-0.15708,0.0,0.0540312,-17,10.024
20,-0.15708,0.0,-0.0991632,-17,10.09
21,-0.15708,0.0,0.0290136,-65,9.781
22,-0.15708,0.0,-0.0338183,-65,9.99
23,-0.15708,0.0,-0.0572173,-146,9.972
24,-0.15708,0.0,0.0783724,-17,10.107
25,-0.15708,0.0,-0.066226,-146,9.98
26,-0.15708,0.0,0.0579756,-33,10.126
27,-0.156182,0.897599,-0.0371338,-17,9.823
28,-0.148104,0.897599,0.109869,-49,9.962
29,-0.147206,0.897599,0.106886,-33,9.907
30,-0.128357,1.7952,-0.0248266,-82,10.164
31,-0.126561,1.7952,-0.0248266,-146,9.915
32,-0.111302,1.7952,0.0168997,-146,10.101
33,-0.0924527,2.6928,0.0579784,-372,9.935
34,-0.0529583,1.7952,0.0579784,-404,10.238
35,-0.0493679,2.6928,0.00836984,-565,9.693
36,-0.0170544,0.897599,0.0294955,-855,10.106
37,-0.00538559,1.7952,0.201717,-1097,9.913
38,-0.0035904,0.897599,0.194004,-1210,10.043
