,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.199267,0.0,-0.0729973,128,17.708
1,-0.199267,0.0,-0.0729973,128,0.11
2,-0.199267,0.0,-0.119861,144,10.221
3,-0.199267,0.0,-0.123386,257,10.616
4,-0.199267,0.0,0.0099802,241,11.221
5,-0.199267,0.0,-0.125197,192,8.095
6,-0.199267,0.0,-0.0306927,80,9.846
7,-0.199267,0.0,-0.0252339,112,9.961
8,-0.199267,0.0,-0.115451,96,10.264
9,-0.199267,0.0,0.0382779,208,9.739
10,-0.199267,0.0,-0.134103,192,9.991
11,-0.199267,0.0,-0.00108254,176,10.56
12,-0.199267,0.0,-0.0222738,80,9.512
13,-0.200165,0.0,-0.0973365,80,10.506
14,-0.200165,0.0,0.0376188,47,9.698
15,-0.201062,0.0,-0.127248,176,9.783
16,-0.201062,0.0,-0.0230615,96,10.006
17,-0.201062,0.0,-0.0260668,96,9.97
18,-0.201062,0.0,-0.0901968,96,10.17
19,-0.201062,0.0,0.0264036,80,9.782
20,-0.201062,0.0,-0.120046,176,10.12
21,-0.201062,0.0,-0.0177504,63,9.878
22,-0.201062,0.0,0.00518824,80,10.093
23,-0.201062,0.0,-0.0784587,63,9.991
24,-0.201062,0.0,0.0381298,96,9.955
25,-0.201062,0.0,-0.108379,47,9.967
26,-0.201062,0.0,0.0332692,80,10.265
27,-0.201062,0.0,0.0510161,96,9.73
28,-0.201062,0.0,-0.0150096,47,9.983
29,-0.194779,0.0,0.104295,128,10.077
30,-0.187598,0.897599,-0.0419345,15,9.957
31,-0.186701,1.7952,0.104487,31,9.98
32,-0.16067,1.7952,-0.0110345,128,10.316
33,-0.140923,2.6928,0.0682474,-49,9.69
34,-0.13823,2.6928,0.0682474,-146,9.965
35,-0.110405,2.6928,-0.014542,-339,9.881
36,-0.0897599,2.6928,-0.014542,-629,10.251
37,-0.0700127,1.7952,0.00473684,-662,9.851
38,-0.0502655,1.7952,0.126299,-936,10.141
39,-0.0242352,0.897599,0.0584463,-1161,9.975
40,-0.0233376,0.897599,0.0896857,-1371,10.249
41,-0.017952,0.0,0.218009,-1516,9.539
42,-0.017952,0.0,0.193731,-1693,10.102
43,-0.0197472,0.0,0.1248,-1661,10.095
44,-0.0233376,0.0,0.266548,-1612,9.971
45,-0.0251328,0.0,0.132753,-1548,9.863
46,-0.0251328,0.0,0.223607,-1516,10.587
47,-0.0251328,0.0,0.219168,-1419,9.437
48,-0.0233376,0.0,0.16588,-1403,10.826
49,-0.0188496,0.897599,0.1848,-1306,9.333
50,-0.00628319,0.897599,0.130865,-1355,9.968
51,0.0026928,0.897599,0.286731,-1322,10.028
52,0.0116688,0.0,0.213601,-1371,10.116
53,0.0125664,0.897599,0.170584,-1516,9.788
54,0.0206448,0.897599,0.281413,-1516,10.145
55,0.0287232,0.897599,0.145748,-1500,9.858
56,0.0341088,0.897599,0.286466,-1564,10.409
57,0.0385968,0.897599,0.236779,-1548,9.529
58,0.0412895,0.0,0.172553,-1596,10.047
59,0.0430847,0.0,0.32846,-1612,9.986
60,0.0457775,0.0,0.155954,-1693,10.228
61,0.0484703,0.897599,0.318538,-1596,9.798
62,0.0520607,0.897599,0.165207,-1564,9.98
63,0.0565487,0.897599,0.288043,-1532,9.961
64,0.0700127,0.897599,0.320957,-1596,10.22
65,0.0709103,0.897599,0.164746,-1596,9.761
66,0.0870671,0.897599,0.270003,-1532,10.285
67,0.0879647,0.0,0.216218,-1661,9.675
68,0.0951455,0.897599,0.197433,-1838,10.224
69,0.101429,0.0,0.18886,-1757,9.977
