q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0.185803,0,0.151993,-589,9.991
0.186701,0,0.134742,-557,10.092
0.186701,0,0.11403,-525,9.987
0.186701,0,0.177458,-589,9.97
0.187598,0,0.0772386,-621,9.856
0.187598,0,0.174417,-557,10.142
0.187598,0,0.143615,-525,9.949
0.187598,0,0.112686,-541,10.005
0.187598,0,0.184032,-589,9.94
0.187598,0,0.0720449,-589,10.159
0.187598,0,0.147469,-573,10.009
0.187598,0,0.123437,-557,10.505
0.187598,0,0.109019,-589,9.482
0.187598,0,0.183921,-589,9.851
0.187598,0,0.0818863,-573,10.073
0.187598,0,0.159026,-589,9.992
0.187598,0,0.11732,-557,10.103
0.187598,0,0.102229,-589,9.954
0.187598,0,0.187297,-573,9.959
0.187598,0,0.0725052,-557,9.956
0.187598,0,0.145984,-557,10.04
0.187598,0,0.118974,-557,10.004
0.187598,0,0.100515,-589,9.966
0.187598,0,0.178562,-557,10.178
0.187598,0,0.0736096,-589,10.179
0.187598,0,0.146273,-621,9.674
0.187598,0,0.117685,-589,9.987
0.187598,0,0.101635,-589,9.96
0.187598,0,0.17906,-557,10.09
0.187598,0,0.0723943,-589,10.352
0.187598,0,0.157251,-589,9.56
0.187598,0,0.113598,-589,10.084
0.187598,0,0.0977693,-589,9.916
0.187598,0,0.170646,-589,10.006
0.187598,0,0.0623934,-573,9.98
0.187598,0,0.150336,-621,10.293
0.187598,0,0.104269,-637,9.761
0.187598,0,0.0983303,-621,9.974
0.187598,0,0.175128,-621,9.867
0.187598,0,0.0729106,-605,10.32
0.187598,0,0.166775,-621,10.148
0.187598,0,0.120704,-589,9.744
0.187598,0,0.106137,-589,9.878
0.187598,0,0.176629,-621,10.039
0.187598,0,0.0699292,-654,10.016
0.187598,0,0.154816,-621,10.06
0.187598,0,0.118472,-654,10.211
0.187598,0,0.0995824,-573,9.766
0.187598,0,0.173358,-589,10.599
0.187598,0,0.0704428,-589,9.574
0.187598,0,0.154853,-541,9.826
0.187598,0,0.129335,-589,10.013
0.187598,0,0.0996348,-654,9.933
0.187598,0,0.171937,-621,10.001
0.187598,0,0.0625946,-621,9.987
0.187598,0,0.14842,-654,10.096
0.187598,0,0.107362,-589,9.908
0.187598,0,0.0992861,-670,10.136
0.187598,0,0.170779,-621,10.04
0.187598,0,0.0612996,-621,9.854
0.187598,0,0.153115,-654,9.963
0.187598,0,0.0986479,-621,10.267
0.187598,0,0.0811307,-654,9.705
0.187598,-0.897599,0.132834,-702,10.059
0.186701,0,0.0353408,-605,9.983
0.186701,0,0.109359,-670,10.185
0.184008,-0.897599,0.0280479,-525,9.782
0.171441,-1.7952,0.107085,-637,10.073
0.157977,-1.7952,0.0503047,-637,10.107
0.140923,-1.7952,0.0047935,-541,9.931
0.13823,-1.7952,0.0686968,-331,9.956
0.105917,-0.897599,-0.0258589,-186,10.007
0.103224,-0.897599,0.0254039,-106,9.932
0.0879647,-0.897599,0.0254039,71,10.108
0.0771935,-0.897599,0.0192417,281,9.973
0.0691151,-0.897599,0.0275379,184,10.067
0.0610367,0,-0.0570726,313,9.896
0.0610367,0,-0.0492903,410,10.08
0.0610367,0,-0.00934169,539,9.902
0.0601391,0,-0.111302,458,10.115
0.0592415,-0.897599,-0.012396,410,9.818
0.0493679,-0.897599,-0.104944,426,10.693
0.0484703,-0.897599,-0.0605505,329,9.394
0.0394943,-0.897599,-0.0319817,442,10.747
0.0296208,-0.897599,-0.0951413,539,9.149
0.0197472,-0.897599,-0.00787416,571,10.081
0.0107712,-0.897599,-0.120357,571,9.881
0.0035904,-0.897599,-0.0890102,635,10.248
-0.0026928,0,-0.0423494,732,9.783
-0.00628319,0,-0.150021,748,10.206
-0.00807839,0,-0.0628934,829,9.788
-0.0107712,-0.897599,-0.150101,732,10.007
-0.0143616,-0.897599,-0.0866756,716,10.015
-0.0242352,0,-0.165439,732,10.093
-0.0278256,-0.897599,-0.0629071,829,10.261
-0.031416,-0.897599,-0.0652792,829,9.866
-0.0385968,-0.897599,-0.157472,780,9.808
-0.0457775,-0.897599,-0.0997035,877,10.101
-0.0520607,-0.897599,-0.0811099,893,9.883
-0.0574463,-0.897599,-0.13675,990,10.221
-0.0619343,0,-0.0908474,1006,9.717
-0.0646271,-0.897599,-0.167294,1006,10.326
-0.0664223,0,-0.141802,1022,9.888
-0.0691151,0,-0.102537,974,9.94
-0.0718079,0,-0.188423,1071,9.976
-0.0745007,0,-0.169037,958,9.941
-0.0789887,0,-0.183158,958,10.08
-0.0834767,-0.897599,-0.126523,942,10.069
-0.0888623,0,-0.166734,942,9.849
-0.0933503,0,-0.187258,893,10.075
-0.0978383,-0.897599,-0.0869618,1054,9.962
-0.100531,-0.897599,-0.153423,974,10.007
-0.103224,-0.897599,-0.143406,958,9.926
-0.105019,0,-0.102421,1087,10.308
-0.105019,0,-0.189483,1119,9.824
-0.105019,0,-0.095424,1071,10.201
-0.105917,0,-0.187483,958,10.234
-0.105917,-0.897599,-0.13834,958,9.533
-0.107712,-0.897599,-0.134607,909,10.673
-0.111302,-0.897599,-0.181623,926,9.444
-0.114893,0,-0.0889517,1038,9.802
-0.117585,-0.897599,-0.153397,974,10.264
-0.120278,0,-0.135762,990,9.703
-0.121176,0,-0.101182,942,10.102
-0.122073,0,-0.183063,1038,10.046
-0.122073,0,-0.0768007,893,10.36
-0.122971,-0.897599,-0.173996,893,9.766
-0.123869,0,-0.1306,909,9.771
-0.125664,0,-0.114465,861,10.107
-0.126561,0,-0.16507,1006,10.045
-0.127459,0,-0.0656851,861,10.082
-0.127459,0,-0.137194,813,10.136
-0.127459,0,-0.106172,813,9.685
-0.127459,0,-0.0540981,813,10.112
-0.127459,0,-0.140741,845,9.882
-0.127459,0,-0.0584852,829,10.078
-0.127459,0,-0.113667,829,9.909
-0.127459,0,-0.107581,780,10.103
-0.127459,0,-0.0630868,780,9.902
-0.127459,0,-0.148812,829,10.214
-0.127459,0,-0.055224,780,9.933
-0.127459,0,-0.123398,732,9.984
-0.127459,0,-0.106441,797,9.861
-0.127459,0,-0.0617509,797,10.087
-0.127459,0,-0.147588,732,9.918
-0.127459,0,-0.055878,748,10.031
-0.127459,0,-0.135636,700,10.386
-0.127459,0,-0.0797227,700,9.742
-0.127459,0,-0.0622556,700,10.019
