q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.0673199,0,-0.0665923,507,11.091
-0.0673199,0,-0.0620074,507,2.674
-0.0673199,0,0.00212924,571,11.08
-0.0673199,0,-0.0341658,490,9.648
-0.0673199,0,-0.0400646,442,9.612
-0.0673199,0,0.0211198,507,9.86
-0.0673199,0,-0.043351,442,10.337
-0.0673199,0,-0.0125832,474,9.506
-0.0673199,0,0.0258896,474,10.083
-0.0673199,0,-0.0673463,507,9.957
-0.0673199,0,0.0197493,539,10.108
-0.0673199,0,-0.0647779,507,10.195
-0.0673199,0,-0.00787628,442,9.919
-0.0673199,0,0.0168884,474,9.692
-0.0673199,0,-0.0640383,507,10.208
-0.0673199,0,0.0153314,507,9.924
-0.0673199,0,-0.0451772,507,9.878
-0.0673199,0,-0.0079173,442,10.122
-0.0673199,0,0.0150697,474,9.882
-0.0673199,0,-0.0645571,458,9.992
-0.0673199,0,0.0191847,442,10.016
-0.0673199,0,-0.0505183,507,10.004
-0.0673199,0,-0.0159852,507,9.979
-0.0673199,0,0.0138742,458,9.981
-0.0673199,0,-0.0686297,474,10.053
-0.0673199,0,0.017877,458,10.02
-0.0673199,0,-0.0494087,539,10.053
-0.0673199,0,-0.0163607,507,10.008
-0.0673199,0,0.0190962,490,9.887
-0.0673199,0,-0.0549749,458,9.98
-0.0673199,0.897599,0.0464495,507,9.999
-0.0664223,0,-0.0421957,474,10.059
-0.0664223,0,0.0274448,507,10.068
-0.0655247,0,0.0275695,426,9.85
-0.0628319,0,-0.0217942,442,10.287
-0.0520607,0.897599,0.0527284,507,9.708
-0.0421871,0.897599,-0.0267539,507,9.999
-0.0412895,1.7952,0.0161069,474,9.972
-0.0287232,1.7952,0.0161069,265,10.021
-0.0143616,0.897599,0.0161069,152,9.991
-0.000897599,1.7952,0.0161069,120,10.46
0.0251328,1.7952,0.0161069,-74,10.071
0.0278256,0.897599,0.0137983,-122,9.836
0.0421871,0.897599,0.121318,-380,9.628
0.0547535,0.897599,0.190586,-654,10.237
0.0673199,0.897599,0.181347,-525,9.801
0.0852719,0,0.0978628,-686,10.45
0.0861695,0.897599,0.197553,-766,9.563
0.0924527,0.897599,0.128609,-863,10.191
0.0987359,0.897599,0.155004,-879,9.847
0.105019,0.897599,0.136712,-976,10.169
0.11579,0.897599,0.183954,-1008,9.832
0.122073,0.897599,0.242858,-1008,10.207
0.122971,0.897599,0.257344,-1121,9.721
0.130152,0.897599,0.207191,-1169,10.163
0.146309,0.897599,0.271319,-1201,9.761
0.147206,0.897599,0.25739,-1137,10.223
0.156182,0.897599,0.25372,-1185,9.874
0.174134,0.897599,0.225678,-1330,10.373
0.18311,0.897599,0.213675,-1218,9.62
0.184008,0.897599,0.316763,-1346,10.272
0.191189,0.897599,0.213866,-1459,9.844
0.197472,0,0.274351,-1556,10.1
0.201062,0,0.285121,-1475,9.841
0.202857,0,0.236843,-1524,10.099
0.203755,0,0.302376,-1395,9.863
0.203755,0,0.222195,-1395,10.381
0.203755,0,0.27882,-1427,9.724
0.20555,0,0.296958,-1363,10.271
0.207345,0,0.227223,-1346,9.674
0.210936,0.897599,0.309904,-1234,10.26
0.215424,0.897599,0.285956,-1282,9.607
0.220809,0.897599,0.297829,-1234,10.248
0.229785,0,0.204369,-1363,10.086
0.229785,0,0.224283,-1363,9.914
0.232478,0,0.297249,-1346,9.888
0.233376,0,0.20742,-1330,10.283
0.234273,0,0.255436,-1330,9.619
0.235171,0,0.275134,-1298,10.709
0.235171,0,0.19885,-1282,9.356
0.235171,0,0.263565,-1234,10.115
0.235171,0,0.163068,-1266,10.222
0.235171,0,0.21093,-1201,9.884
0.235171,0,0.228294,-1169,9.778
0.235171,0,0.140874,-1169,10.443
0.235171,0,0.23711,-1137,9.557
0.235171,0,0.134534,-1153,10.282
0.235171,0,0.178472,-1105,9.706
0.235171,0,0.217388,-1137,10.23
0.235171,0,0.145019,-1121,9.963
0.235171,0,0.22331,-1056,10.007
0.235171,0,0.143225,-1073,9.725
0.235171,0,0.185961,-1105,10.316
0.235171,0,0.195359,-1073,9.757
0.235171,0,0.123834,-1056,10.195
0.235171,0,0.200807,-1056,9.978
0.235171,-0.897599,0.112166,-1008,10.213
0.234273,0,0.17279,-1040,9.735
0.234273,0,0.187457,-1008,10.076
0.234273,0,0.121266,-944,9.864
0.234273,0,0.191578,-1024,10.195
0.234273,0,0.103112,-976,9.784
0.234273,0,0.170697,-992,10.332
0.234273,0,0.178972,-1008,9.659
0.233376,0,0.115165,-992,10.024
0.233376,0,0.193492,-976,10.142
0.233376,0,0.129686,-976,10.063
0.233376,0,0.179589,-992,9.757
0.233376,0,0.197336,-976,10.23
0.233376,0,0.135778,-992,9.999
0.233376,0,0.209926,-992,9.898
0.233376,0,0.113404,-960,9.751
0.233376,0,0.171479,-944,10.609
0.233376,0,0.173502,-944,9.518
0.233376,0,0.11913,-928,10.33
0.233376,0,0.194354,-928,10.19
0.233376,0,0.115315,-960,9.671
0.233376,0,0.160009,-911,9.802
0.233376,0,0.178902,-944,10.113
0.233376,0,0.10001,-895,9.806
0.233376,0,0.179532,-976,10.248
0.233376,0,0.0868646,-895,10.219
0.233376,0,0.153566,-895,9.859
0.232478,0,0.172399,-944,9.779
0.232478,0,0.0948342,-944,10.268
0.232478,0,0.180166,-960,9.682
0.232478,0,0.106146,-911,10.147
0.232478,0,0.143587,-944,9.91
0.231581,0,0.145169,-911,10.092
0.230683,0,0.10479,-960,9.945
0.229785,0,0.176661,-911,10.164
0.228888,0,0.0809912,-944,9.809
0.22799,0,0.145322,-911,10.317
0.227093,0,0.148155,-911,10.022
0.226195,0,0.101909,-879,9.84
0.226195,0,0.182135,-895,9.821
0.226195,0,0.0930547,-911,10.331
0.226195,0,0.156941,-879,9.786
0.226195,0,0.169601,-895,10.015
0.226195,0,0.103072,-944,9.87
0.226195,0,0.183482,-911,10.334
0.226195,0,0.0735922,-863,9.732
0.226195,0,0.140425,-928,10.115
0.226195,0,0.148013,-879,9.823
0.226195,0,0.0916867,-879,10.091
0.226195,0,0.169523,-895,9.846
0.226195,0,0.0825292,-879,10.443
0.226195,0,0.147684,-911,9.898
0.226195,0,0.15918,-911,9.783
0.226195,0,0.0918856,-911,9.833
0.226195,0,0.179916,-911,10.613
0.226195,0,0.0798567,-847,9.615
0.226195,0,0.139941,-863,10.537
0.226195,0,0.154767,-895,9.293
0.226195,0,0.0961401,-911,10.252
0.226195,0,0.170466,-928,9.837
0.226195,0,0.0776089,-879,10.14
0.226195,0,0.144018,-944,9.767
0.226195,0,0.1589,-895,10.111
0.226195,0,0.0882118,-944,9.776
0.225297,0,0.167497,-911,10.333
0.225297,0,0.0823368,-911,9.88
0.225297,0,0.145513,-928,10.256
