,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.207345,0.0,-0.0270562,313,10.238
1,-0.207345,0.0,-0.0258176,200,9.929
2,-0.207345,0.0,-0.0134781,184,9.624
3,-0.207345,0.0,-0.0273984,265,10.191
4,-0.206448,0.0,-0.0241457,345,9.812
5,-0.20555,0.0,-0.0147109,297,9.981
6,-0.202857,0.897599,-0.0288197,233,10.063
7,-0.202857,0.0,-0.0183994,265,10.318
8,-0.20196,0.0,-0.0127944,297,9.656
9,-0.200165,0.0,-0.0191323,249,10.02
10,-0.199267,0.897599,-0.00762731,233,10.042
11,-0.194779,0.0,-0.0158628,281,9.988
12,-0.194779,0.0,0.00249782,233,9.835
13,-0.191189,0.897599,-0.00568469,233,10.463
14,-0.185803,0.897599,0.00233338,168,9.518
15,-0.174134,0.0,0.00691572,265,10.06
16,-0.173237,0.897599,-0.00594854,200,10.03
17,-0.16067,0.0,0.0101518,168,10.12
18,-0.154387,0.0,0.0121553,7,9.828
19,-0.154387,0.897599,0.0174938,7,9.969
20,-0.148104,0.0,0.0334979,-57,10.037
21,-0.143616,0.897599,0.0327047,-90,10.238
22,-0.13823,0.897599,0.0369261,-106,9.755
23,-0.133742,0.897599,0.0457933,-154,10.0
24,-0.120278,0.897599,0.0634757,-154,10.271
25,-0.119381,0.897599,0.0757055,-283,9.755
26,-0.109507,0.897599,0.0761892,-283,10.134
27,-0.0834767,1.7952,0.0885366,-428,11.98
28,-0.0780911,1.7952,0.074822,-347,8.002
29,-0.0646271,0.897599,0.0975402,-476,9.891
30,-0.0484703,0.897599,0.0822043,-734,9.964
31,-0.0376992,0.897599,0.0996553,-766,10.11
32,-0.0296208,0.897599,0.10443,-766,10.123
33,-0.0233376,0.0,0.135791,-928,9.904
34,-0.0215424,0.0,0.148266,-992,10.177
35,-0.0206448,0.0,0.158373,-1073,9.739
36,-0.0206448,0.0,0.153598,-1024,10.066
37,-0.0206448,0.897599,0.168435,-960,10.212
38,-0.0188496,0.897599,0.153975,-911,9.756
39,-0.00807839,0.897599,0.164262,-879,10.15
40,-0.00718079,1.7952,0.160391,-863,9.898
41,0.0026928,0.897599,0.143321,-815,10.094
42,0.013464,0.897599,0.145928,-928,9.788
43,0.0332112,0.897599,0.139809,-895,10.365
44,0.0350064,0.897599,0.140772,-944,9.763
45,0.0421871,0.897599,0.170399,-992,10.229
46,0.0466751,0.897599,0.162536,-1153,9.633
47,0.0493679,0.0,0.175858,-1185,10.213
48,0.0502655,0.0,0.179645,-1169,9.965
49,0.0502655,0.0,0.172862,-1137,9.871
50,0.0502655,0.0,0.180758,-1121,10.726
51,0.0529583,0.897599,0.168919,-1024,9.549
52,0.0565487,0.897599,0.170861,-992,9.769
