,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.149001,0.0,-0.0310805,104,11.818
1,-0.149001,0.0,-0.0395654,136,5.476
2,-0.149001,0.0,-0.0300972,200,12.19
3,-0.149001,0.0,-0.0350817,249,7.867
4,-0.149001,0.0,-0.0362325,104,10.144
5,-0.149001,0.0,-0.0253438,120,9.928
6,-0.149001,0.0,-0.0385764,233,10.159
7,-0.149001,0.0,-0.023914,120,9.785
8,-0.149001,0.0,-0.0249952,233,10.13
9,-0.149001,0.0,-0.0223823,233,9.9
10,-0.149001,0.0,-0.0102399,233,9.99
11,-0.149001,0.0,-0.0246266,152,9.995
12,-0.148104,0.0,-0.0103732,297,10.121
13,-0.147206,0.897599,-0.0179654,152,9.941
14,-0.145411,0.897599,-0.0124998,136,9.932
15,-0.142718,0.897599,-0.00078364,200,9.935
16,-0.13823,0.897599,0.00120594,168,10.016
17,-0.132845,0.897599,0.0141342,88,10.091
18,-0.125664,0.897599,0.00667666,152,10.025
19,-0.114893,0.897599,0.0140738,200,9.858
20,-0.102326,0.897599,0.0140738,-9,10.221
21,-0.0888623,1.7952,0.0140738,88,9.897
22,-0.0745007,0.897599,0.0140738,-74,9.974
23,-0.0610367,0.897599,0.0171834,-186,9.916
24,-0.0484703,0.897599,0.0696682,-347,10.356
25,-0.035904,0.897599,0.0854691,-476,9.741
26,-0.0278256,0.897599,0.0763588,-605,10.153
27,-0.0206448,0.0,0.131724,-670,9.721
28,-0.0161568,0.0,0.118261,-799,10.592
29,-0.00718079,0.0,0.119624,-831,9.516
30,-0.00718079,0.897599,0.142042,-863,9.967
31,-0.0026928,0.897599,0.138025,-783,9.928
32,0.0017952,0.897599,0.151263,-911,9.998
33,0.0143616,0.897599,0.145037,-911,10.002
34,0.0143616,0.897599,0.14404,-895,10.222
35,0.0305184,0.897599,0.162569,-895,10.036
36,0.031416,0.897599,0.153114,-976,9.757
37,0.0475727,0.0,0.170652,-992,10.121
38,0.0484703,0.897599,0.165676,-1089,9.978
39,0.0574463,0.897599,0.173446,-1073,10.055
40,0.0700127,0.0,0.171956,-1105,9.977
41,0.0709103,0.0,0.176892,-1153,9.885
42,0.0798863,0.0,0.192436,-1201,10.333
43,0.0798863,0.897599,0.184565,-1250,9.721
44,0.0843743,0.0,0.192364,-1201,10.027
45,0.0879647,0.0,0.191189,-1282,9.854
46,0.0924527,0.0,0.192271,-1282,10.347
47,0.0987359,0.897599,0.202256,-1218,9.712
48,0.1122,0.897599,0.19286,-1169,10.128
49,0.113097,0.897599,0.197126,-1201,9.878
50,0.122073,0.897599,0.213801,-1266,10.182
51,0.130152,0.897599,0.197866,-1346,9.849
52,0.137333,0.897599,0.214416,-1298,10.064
53,0.144513,0.0,0.21141,-1330,9.868
54,0.149899,0.897599,0.219578,-1411,10.013
55,0.155285,0.0,0.226833,-1443,10.078
56,0.158875,0.0,0.226657,-1411,13.027
57,0.166056,0.0,0.243229,-1540,8.026
58,0.170544,0.0,0.224969,-1475,9.143
59,0.170544,0.897599,0.236185,-1443,9.774
60,0.175929,0.0,0.225133,-1411,10.013
61,0.182213,0.0,0.223165,-1491,9.933
62,0.188496,0.897599,0.230301,-1443,10.084
63,0.195677,0.897599,0.218345,-1395,10.472
64,0.208243,0.0,0.22691,-1411,9.525
65,0.209141,0.897599,0.237958,-1524,9.945
66,0.214526,0.897599,0.23463,-1540,10.031
67,0.219014,0.897599,0.242261,-1588,9.965
68,0.223502,0.0,0.234996,-1604,10.042
69,0.228888,0.897599,0.241472,-1637,10.064
70,0.231581,0.0,0.244835,-1604,10.008
71,0.231581,0.0,0.237602,-1524,9.893
72,0.234273,0.0,0.245571,-1604,10.027
73,0.236069,0.0,0.23731,-1556,10.313
74,0.239659,0.897599,0.232848,-1524,9.951
75,0.243249,0.0,0.241458,-1459,9.809
76,0.24684,0.0,0.234029,-1395,10.197
77,0.251328,0.897599,0.238554,-1508,9.692
78,0.254918,0.0,0.225711,-1475,10.253
79,0.259406,0.0,0.234084,-1475,9.702
80,0.262996,0.897599,0.238225,-1540,10.073
81,0.265689,0.0,0.222927,-1443,10.103
82,0.26928,0.0,0.240372,-1491,9.911
83,0.271972,0.0,0.224825,-1540,9.958
84,0.273768,0.897599,0.221717,-1411,10.179
85,0.27646,0.0,0.232586,-1443,9.943
86,0.278256,0.0,0.226021,-1411,9.923
87,0.280051,0.0,0.225572,-1475,10.39
88,0.281846,0.0,0.219102,-1395,9.622
89,0.282744,0.0,0.222634,-1395,9.952
90,0.284539,0.0,0.224997,-1379,10.046
91,0.286334,0.0,0.207372,-1379,10.234
92,0.289027,0.897599,0.214127,-1346,9.88
93,0.290822,0.0,0.204818,-1314,9.824
94,0.292617,0.0,0.210488,-1379,10.2
95,0.294412,0.0,0.212722,-1363,9.773
96,0.29531,0.0,0.19727,-1314,10.106
97,0.296208,0.0,0.206766,-1282,9.939
98,0.297105,0.0,0.202101,-1266,10.291
99,0.298003,0.0,0.195026,-1314,10.17
100,0.298003,0.0,0.203986,-1282,10.426
101,0.2989,0.0,0.184198,-1250,9.166
102,0.2989,0.0,0.189283,-1218,10.202
103,0.2989,0.0,0.187491,-1201,9.849
104,0.2989,0.0,0.183012,-1185,9.975
105,0.2989,0.0,0.18898,-1153,9.973
106,0.2989,0.0,0.174814,-1185,10.085
107,0.2989,0.0,0.182807,-1105,9.875
108,0.299798,0.0,0.175839,-1089,10.164
109,0.299798,0.0,0.168243,-1089,9.99
110,0.300696,0.0,0.177541,-1089,9.934
111,0.300696,0.0,0.160226,-1024,9.852
112,0.300696,0.0,0.16673,-1008,10.171
113,0.300696,0.0,0.161266,-1073,9.862
114,0.300696,0.0,0.151994,-1008,10.129
115,0.300696,0.0,0.160867,-1024,9.875
116,0.300696,0.0,0.146401,-1040,10.329
117,0.300696,0.0,0.152293,-1008,9.695
118,0.300696,0.0,0.148557,-960,10.044
119,0.300696,0.0,0.143627,-944,10.186
120,0.300696,0.0,0.154439,-944,10.22
121,0.300696,0.0,0.139912,-928,9.498
122,0.300696,0.0,0.150598,-928,10.174
123,0.300696,0.0,0.14461,-895,10.24
124,0.300696,0.0,0.141532,-928,9.854
125,0.300696,0.0,0.149075,-895,9.844
126,0.300696,0.0,0.135273,-895,10.062
127,0.300696,0.0,0.147145,-863,10.01
128,0.300696,0.0,0.141843,-863,10.129
129,0.300696,0.0,0.138106,-831,9.892
130,0.300696,0.0,0.146473,-847,9.814
131,0.301593,0.0,0.131855,-863,10.084
132,0.301593,0.0,0.142872,-847,10.281
133,0.301593,0.0,0.13604,-799,9.839
134,0.301593,0.0,0.130691,-863,9.963
135,0.301593,0.0,0.141708,-799,10.511
136,0.302491,0.0,0.129271,-799,9.813
137,0.302491,0.0,0.135182,-799,9.635
138,0.302491,0.0,0.136639,-766,9.981
139,0.302491,0.0,0.127691,-831,10.037
140,0.302491,0.0,0.135452,-766,10.07
141,0.302491,0.0,0.122031,-766,9.921
142,0.302491,0.0,0.133881,-799,10.234
143,0.302491,0.0,0.133601,-734,9.704
144,0.302491,0.0,0.12575,-783,10.093
145,0.302491,0.0,0.1374,-734,10.037
146,0.302491,0.0,0.122965,-766,9.905
147,0.303388,0.0,0.131435,-799,9.955
148,0.303388,0.0,0.125129,-815,10.23
149,0.303388,0.0,0.120499,-734,9.775
150,0.303388,0.0,0.129244,-766,10.046
151,0.303388,0.0,0.117674,-702,9.947
152,0.303388,0.0,0.127772,-734,10.05
153,0.303388,0.0,0.130057,-750,9.956
154,0.303388,0.0,0.120085,-750,10.336
155,0.303388,0.0,0.132363,-718,9.765
156,0.304286,0.0,0.118862,-686,13.987
157,0.304286,0.0,0.130189,-766,6.126
158,0.304286,0.0,0.12184,-718,10.241
159,0.304286,0.0,0.117244,-766,9.851
160,0.304286,0.0,0.125374,-734,9.774
161,0.304286,0.0,0.11379,-734,10.0
162,0.304286,0.0,0.126328,-734,10.202
163,0.304286,0.0,0.122876,-734,9.713
164,0.304286,0.0,0.117812,-734,10.051
165,0.304286,0.0,0.128103,-734,10.015
166,0.304286,0.0,0.114824,-750,10.034
167,0.304286,0.0,0.120319,-734,9.909
168,0.304286,0.0,0.117332,-750,10.131
169,0.304286,0.0,0.114623,-734,9.928
170,0.304286,0.0,0.126763,-734,10.339
171,0.304286,0.0,0.112909,-734,9.606
172,0.304286,0.0,0.121669,-702,10.03
173,0.304286,0.0,0.123502,-670,10.095
174,0.304286,0.0,0.11601,-750,9.92
175,0.304286,0.0,0.124973,-670,9.95
176,0.305184,0.0,0.114697,-702,10.038
177,0.305184,0.0,0.12223,-702,9.955
178,0.305184,0.0,0.122366,-670,10.053
179,0.305184,0.0,0.114434,-734,9.953
180,0.305184,0.0,0.128644,-734,10.218
181,0.305184,0.0,0.112759,-766,9.975
182,0.305184,0.0,0.121676,-686,9.897
183,0.305184,0.0,0.118443,-734,10.224
184,0.305184,0.0,0.113224,-670,9.715
185,0.305184,0.0,0.126395,-637,10.023
186,0.305184,0.0,0.113876,-702,9.982
187,0.305184,0.0,0.120999,-670,10.077
188,0.306081,0.0,0.116209,-670,9.906
189,0.306081,0.0,0.109615,-670,10.189
190,0.306081,0.0,0.123427,-670,9.859
191,0.306081,0.0,0.110356,-670,9.985
192,0.306081,0.0,0.118416,-718,10.023
193,0.306081,0.0,0.118647,-702,9.871
194,0.306081,0.0,0.111017,-702,10.095
195,0.306081,0.0,0.122745,-637,10.465
196,0.306081,0.0,0.108789,-702,9.55
197,0.306081,0.0,0.116434,-734,9.977
198,0.306081,0.0,0.115715,-702,9.929
199,0.306081,0.0,0.110395,-718,10.096
200,0.306081,0.0,0.123238,-718,10.049
201,0.306081,0.0,0.110968,-734,9.997
202,0.306081,0.0,0.11997,-670,9.98
203,0.306081,0.0,0.116348,-702,9.944
204,0.306081,0.0,0.110403,-718,9.99
205,0.306081,0.0,0.120323,-702,10.089
206,0.306081,0.0,0.110044,-670,9.992
207,0.306081,0.0,0.116971,-702,10.514
208,0.306081,0.0,0.115631,-670,9.607
209,0.306081,0.0,0.111866,-670,9.784
