,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0619343,0.0,-0.018856,-25,9.857
1,-0.0619343,0.0,-0.0193596,-41,10.177
2,-0.0619343,0.0,-0.0232647,-41,9.924
3,-0.0619343,0.0,-0.0279297,-41,10.646
4,-0.0619343,0.0,-0.0156868,-25,9.253
5,-0.0619343,0.0,-0.0294095,-41,10.021
6,-0.0619343,0.0,-0.0213857,-57,10.063
7,-0.0619343,0.0,-0.0211766,-90,9.958
8,-0.0619343,0.0,-0.0263632,-74,9.922
9,-0.0619343,0.0,-0.0189789,-41,10.169
10,-0.0619343,0.0,-0.028635,-41,9.922
11,-0.0628319,0.0,-0.0232728,-170,10.066
12,-0.0628319,0.0,-0.0252908,-41,9.944
13,-0.0628319,0.0,-0.0281637,-41,10.017
14,-0.0628319,0.0,-0.0147858,-41,9.972
15,-0.0628319,0.0,-0.0253729,-25,9.929
16,-0.0628319,0.0,-0.0145433,-25,10.02
17,-0.0628319,0.0,-0.014978,-41,10.015
18,-0.0628319,0.0,-0.0191083,-25,9.979
19,-0.0628319,0.0,-0.00968847,-41,10.378
20,-0.0628319,0.0,-0.0227548,-25,9.63
21,-0.0628319,0.0,-0.010726,-25,10.053
22,-0.0628319,0.0,-0.0131593,-9,10.339
23,-0.0628319,0.0,-0.0115931,-9,9.785
24,-0.0628319,0.0,0.00303029,-25,9.892
25,-0.0628319,0.0,-0.00823186,-25,9.964
26,-0.0628319,0.897599,0.0221281,7,10.135
27,-0.0619343,0.0,0.0170772,-25,9.959
28,-0.0610367,0.0,0.018457,-9,9.899
29,-0.0601391,0.0,0.0292427,-41,10.028
30,-0.0583439,0.897599,0.0231718,88,10.046
31,-0.0538559,0.897599,0.0345134,7,9.975
32,-0.0484703,0.897599,0.0359653,-9,9.949
33,-0.040392,0.897599,0.0453339,-90,9.898
34,-0.0197472,1.7952,0.0391946,-57,9.969
35,-0.017952,1.7952,0.0510341,-122,10.193
36,0.00807839,0.897599,0.0510341,-170,9.766
37,0.00987359,0.897599,0.0510341,-380,10.133
38,0.0305184,0.0,0.0742399,-428,10.031
39,0.031416,0.897599,0.0846593,-670,9.904
40,0.0394943,0.897599,0.115678,-637,10.828
41,0.0394943,0.897599,0.125186,-783,9.34
42,0.0412895,0.0,0.126016,-799,9.872
43,0.0412895,0.0,0.138822,-863,10.255
44,0.0412895,0.897599,0.146018,-847,9.793
45,0.0466751,0.0,0.132365,-799,10.137
46,0.0520607,0.0,0.151679,-766,9.919
47,0.0601391,0.897599,0.142944,-783,10.238
48,0.0619343,0.897599,0.147199,-766,9.67
49,0.0736031,0.897599,0.136214,-766,10.087
50,0.0861695,0.897599,0.136214,-863,9.907
51,0.0987359,0.897599,0.137671,-863,10.046
52,0.116688,0.897599,0.143181,-928,10.01
53,0.118483,0.897599,0.153733,-1056,10.0
54,0.123869,0.0,0.173629,-1153,9.926
55,0.125664,0.0,0.141095,-1314,10.098
56,0.125664,0.0,0.146738,-1266,9.96
57,0.125664,0.0,0.16593,-1250,9.989
58,0.125664,0.0,0.169603,-1234,9.997
59,0.125664,0.0,0.181875,-1218,10.447
60,0.125664,0.0,0.172311,-1153,9.493
61,0.125664,0.897599,0.180388,-1153,10.245
62,0.128357,0.0,0.1671,-1073,9.936
63,0.128357,0.0,0.165733,-1056,9.876
64,0.130152,0.897599,0.171231,-1073,9.904
65,0.131947,0.897599,0.152217,-992,10.189
66,0.13464,0.0,0.172307,-960,9.825
67,0.13823,0.897599,0.159159,-1024,10.058
68,0.140923,0.897599,0.149971,-1024,10.035
69,0.148104,0.0,0.1633,-976,10.278
