q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0.300696,0,0.216767,-1123,10.058
0.300696,0,0.20702,-1123,10.285
0.301593,0,0.210239,-1140,10.071
0.301593,0,0.217305,-1156,9.657
0.301593,0,0.208019,-1140,9.983
0.301593,0,0.217392,-1140,10.075
0.301593,0,0.210651,-1123,9.997
0.301593,0,0.210461,-1107,9.965
0.301593,0,0.216999,-1140,9.978
0.301593,0,0.206824,-1107,9.967
0.301593,0,0.213757,-1107,9.984
0.301593,0,0.207234,-1107,10.03
0.301593,0,0.205104,-1091,9.984
0.301593,0,0.210176,-1123,10.013
0.301593,0,0.201443,-1075,9.981
0.301593,0,0.205858,-1107,10.183
0.301593,0,0.199463,-1107,9.846
0.301593,0,0.199,-1091,10.014
0.301593,0,0.207933,-1059,9.938
0.301593,0,0.200438,-1107,10.033
0.301593,0,0.209398,-1075,10.084
0.301593,0,0.204653,-1123,10.176
0.301593,0,0.197189,-1107,9.718
0.301593,0,0.202134,-1075,10.007
0.301593,0,0.192078,-1075,10.001
0.301593,0,0.202862,-1075,10.082
0.301593,0,0.198733,-1140,9.947
0.301593,0,0.197032,-1075,10.549
0.301593,0,0.203487,-1059,9.454
0.301593,0,0.194132,-1107,10.019
0.301593,0,0.201866,-1059,9.99
0.301593,0,0.195733,-1091,10.051
0.301593,0,0.19486,-1043,10.127
0.301593,0,0.198534,-1075,10.168
0.301593,0,0.189788,-1107,9.611
0.301593,0,0.198525,-1075,10.254
0.301593,0,0.194991,-1075,9.747
0.301593,0,0.194924,-1091,10.23
0.301593,0,0.20316,-1075,9.862
0.301593,0,0.192692,-1075,10.02
0.301593,0,0.19918,-1075,10.065
0.301593,0,0.191274,-1091,10.167
0.301593,0,0.191542,-1075,9.658
0.301593,0,0.19912,-1107,10.126
0.301593,0,0.191941,-1107,9.904
0.301593,0,0.201304,-1107,10.201
0.301593,0,0.196536,-1027,9.803
0.301593,0,0.198795,-1107,10.232
0.301593,0,0.20102,-1059,9.728
0.301593,0,0.189203,-1059,10.233
0.301593,0,0.195213,-1059,9.839
0.301593,0,0.188769,-1123,10.12
0.301593,0,0.190187,-1075,9.929
0.301593,0,0.199095,-1091,10.079
0.301593,0,0.189595,-1075,9.896
0.301593,0,0.195787,-1107,10.135
0.301593,0,0.192192,-1059,9.803
0.301593,0,0.188347,-1107,10.203
0.301593,0,0.191349,-1107,9.819
0.301593,0,0.176095,-1075,10.05
0.301593,0,0.185561,-1091,9.823
0.301593,0,0.182021,-1107,10.314
0.301593,0,0.178563,-1107,9.917
0.301593,0,0.18729,-1075,10.046
0.301593,0,0.179122,-1107,10.415
0.301593,0,0.190222,-1140,9.507
0.301593,0,0.181589,-1107,9.919
0.301593,0,0.182594,-1107,10.255
0.301593,0,0.189735,-1107,10.127
0.301593,0,0.179129,-1091,9.782
0.301593,0,0.18842,-1091,9.783
0.301593,0,0.185978,-1140,10.225
0.301593,0,0.185475,-1107,10.081
0.301593,0,0.19283,-1140,9.937
0.301593,0,0.185416,-1140,9.836
0.301593,0,0.195707,-1107,10.127
0.301593,0,0.189755,-1107,9.875
0.301593,0,0.190654,-1140,10.29
0.301593,0,0.194391,-1123,9.603
0.301593,0,0.184842,-1123,10.229
0.301593,0,0.19197,-1156,10.174
0.301593,0,0.188678,-1140,9.687
0.301593,0,0.189383,-1091,9.992
0.301593,0,0.195501,-1123,10.114
0.301593,0,0.186728,-1107,10.019
0.301593,0,0.190377,-1172,10.067
0.301593,0,0.180847,-1107,9.973
0.301593,0,0.177821,-1107,10.204
0.301593,0,0.183047,-1107,9.634
0.301593,0,0.172703,-1107,10.366
0.301593,0,0.182947,-1140,9.591
