,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.189393,0.0,-0.0207982,152,13.496
1,-0.189393,0.0,-0.0200493,152,6.758
2,-0.189393,0.0,-0.0179536,233,10.423
3,-0.189393,0.0,-0.0180205,265,9.469
4,-0.189393,0.0,-0.0157101,184,9.932
5,-0.188496,0.0,-0.0188638,168,10.137
6,-0.187598,0.0,-0.0201565,265,9.909
7,-0.187598,0.0,-0.0192949,281,9.956
8,-0.186701,0.0,-0.0213453,313,10.251
9,-0.185803,0.0,-0.0209817,313,9.713
10,-0.184905,0.0,-0.0230957,184,10.105
11,-0.184008,0.0,-0.0233578,184,9.975
12,-0.184008,0.0,-0.0258031,184,10.17
13,-0.184008,0.0,-0.0287445,168,9.782
14,-0.184008,0.0,-0.0224921,313,10.079
15,-0.184008,0.0,-0.0229545,281,9.932
16,-0.184008,0.0,-0.0277896,184,10.486
17,-0.184008,0.0,-0.0252172,313,9.496
18,-0.184008,0.0,-0.0282128,329,10.717
19,-0.184008,0.0,-0.0308974,217,9.413
20,-0.184008,0.0,-0.0307438,345,9.931
21,-0.184008,0.0,-0.0337511,184,9.883
22,-0.184008,0.0,-0.0321901,200,10.312
23,-0.184008,0.0,-0.0322574,345,9.743
24,-0.184008,0.0,-0.0306477,200,10.132
25,-0.184008,0.0,-0.0291001,345,9.972
26,-0.184008,0.0,-0.0277485,345,9.924
27,-0.184008,0.0,-0.0226244,378,9.989
28,-0.184008,0.0,-0.0227982,217,10.034
29,-0.184008,0.0,-0.0190937,410,9.96
30,-0.180417,0.897599,-0.020366,297,10.156
31,-0.180417,0.897599,-0.0192717,297,9.796
32,-0.176827,0.897599,-0.00793548,329,10.174
33,-0.171441,0.897599,-0.0040244,168,9.781
34,-0.164261,0.897599,0.000867625,265,10.253
35,-0.154387,0.897599,0.0039008,217,9.823
36,-0.141821,0.897599,0.0131527,200,10.012
37,-0.125664,1.7952,0.0239099,104,9.927
38,-0.107712,1.7952,0.0336228,7,10.096
39,-0.0888623,1.7952,0.0390936,-57,9.857
40,-0.0691151,1.7952,0.0665921,-283,10.124
41,-0.0341088,1.7952,0.0829593,-525,10.164
42,-0.031416,0.897599,0.0829593,-637,9.855
43,-0.0188496,0.897599,0.131537,-815,9.991
44,-0.0116688,0.0,0.144329,-1185,10.102
45,-0.00807839,0.0,0.139666,-1137,9.94
46,-0.00718079,0.0,0.132191,-1185,9.925
47,-0.00897599,0.0,0.135403,-1153,10.092
48,-0.00897599,0.0,0.163064,-1185,9.949
49,-0.00897599,0.0,0.162821,-1153,9.968
50,-0.00807839,0.0,0.165163,-1089,10.12
51,-0.00718079,0.0,0.166652,-1024,10.217
52,-0.0035904,0.897599,0.165129,-944,9.744
