,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0736031,0.0,-0.0102271,120,12.619
1,-0.0727055,0.0,-0.010789,217,1.665
2,-0.0727055,0.0,-0.0086103,104,9.751
3,-0.0718079,0.0,-0.0108053,217,10.58
4,-0.0718079,0.0,-0.00747839,120,9.135
5,-0.0718079,0.0,-0.00696479,217,9.921
6,-0.0718079,0.0,-0.00688811,168,10.181
7,-0.0718079,0.0,-0.00176694,168,9.887
8,-0.0709103,0.0,-0.00446276,120,10.106
9,-0.0700127,0.0,-0.00287046,104,10.005
10,-0.0691151,0.0,0.000405663,88,10.036
11,-0.0682175,0.0,-0.00501056,184,9.725
12,-0.0673199,0.0,-0.00110961,71,10.208
13,-0.0664223,0.0,-0.000440283,88,9.907
14,-0.0655247,0.0,-0.00573371,88,10.032
15,-0.0655247,0.0,-0.00738376,168,9.957
16,-0.0655247,0.0,-0.00747406,168,10.033
17,-0.0655247,0.0,-0.000864546,168,10.014
18,-0.0655247,0.0,-0.000555931,88,10.309
19,-0.0655247,0.0,0.0021811,88,9.692
20,-0.0655247,0.0,0.00310379,88,9.958
21,-0.0655247,0.0,0.00350119,71,10.095
22,-0.0655247,0.0,0.0122082,71,9.888
23,-0.0646271,0.0,0.00466785,152,10.419
24,-0.0637295,0.0,0.00384579,71,9.605
25,-0.0610367,0.0,0.00120716,71,9.954
26,-0.0556511,0.0,-0.00194334,217,10.219
27,-0.0556511,0.897599,-0.000412875,120,9.794
28,-0.0484703,0.0,0.00249587,104,10.082
29,-0.0484703,0.0,0.00910538,7,9.791
30,-0.0448799,0.0,0.0129681,-25,10.174
31,-0.0412895,0.0,0.0144688,-25,9.803
32,-0.0385968,0.897599,0.0190571,-25,10.196
33,-0.0341088,0.897599,0.0273353,-57,9.887
34,-0.0305184,0.897599,0.0306835,-74,10.052
35,-0.0215424,0.897599,0.0439571,-170,10.049
36,-0.0215424,0.897599,0.056778,-186,10.023
37,-0.0143616,0.897599,0.0628367,-267,9.965
38,0.0017952,0.897599,0.0677326,-283,10.314
39,0.013464,0.897599,0.0664079,-267,9.515
40,0.026928,0.897599,0.0664079,-412,10.209
41,0.040392,0.897599,0.0664079,-541,9.856
42,0.0430847,0.897599,0.0664079,-573,10.031
43,0.0664223,1.7952,0.0664079,-670,9.867
44,0.0789887,1.7952,0.072047,-847,10.232
45,0.0825791,0.897599,0.135753,-911,9.804
46,0.0924527,0.897599,0.167537,-1121,10.224
47,0.105917,0.897599,0.16885,-1218,9.914
48,0.105917,0.0,0.174349,-1153,10.139
49,0.110405,0.897599,0.192362,-1250,9.758
50,0.113995,0.897599,0.187869,-1314,10.209
51,0.113995,0.0,0.186889,-1218,9.88
52,0.11579,0.0,0.197905,-1314,10.086
53,0.117585,0.897599,0.190788,-1282,9.969
54,0.122073,0.0,0.1881,-1169,9.925
