,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.168749,0.0,-0.0306113,200,13.842
1,-0.168749,0.0,-0.037114,249,6.557
2,-0.168749,0.0,-0.0332655,184,9.602
3,-0.168749,0.0,-0.035016,104,9.885
4,-0.168749,0.0,-0.0353455,104,10.244
5,-0.168749,0.0,-0.0330141,120,9.628
6,-0.168749,0.0,-0.0365627,200,10.034
7,-0.168749,0.0,-0.035495,104,9.976
8,-0.168749,0.0,-0.0322087,200,10.222
9,-0.168749,0.0,-0.0319911,104,9.974
10,-0.168749,0.0,-0.0330833,152,9.763
11,-0.168749,0.0,-0.0366351,136,10.1
12,-0.168749,0.0,-0.0342369,136,10.047
13,-0.168749,0.0,-0.0349075,200,10.315
14,-0.168749,0.0,-0.0388843,120,9.665
15,-0.168749,0.0,-0.0386516,136,9.929
16,-0.168749,0.0,-0.0398661,136,10.069
17,-0.168749,0.0,-0.0382207,200,9.998
18,-0.168749,0.0,-0.038649,200,9.943
19,-0.168749,0.0,-0.0353617,200,10.202
20,-0.168749,0.0,-0.0313642,249,9.828
21,-0.168749,0.0,-0.0294862,200,9.98
22,-0.168749,0.0,-0.02207,200,9.923
23,-0.168749,0.0,-0.0149798,200,10.139
24,-0.168749,0.0,-0.0102862,136,9.809
25,-0.167851,0.897599,-0.00502071,265,10.137
26,-0.166056,0.897599,-0.00116348,184,9.944
27,-0.162465,0.897599,0.00525668,200,9.987
28,-0.156182,0.897599,0.0283803,233,10.093
29,-0.13464,1.7952,0.0295662,104,9.932
30,-0.131947,1.7952,0.0456478,104,9.915
31,-0.106814,2.6928,0.0495056,71,10.886
32,-0.0825791,3.5904,0.074348,-186,9.154
33,-0.0493679,2.6928,0.0718197,-299,9.987
34,-0.0215424,2.6928,0.0718197,-573,10.077
35,0.0107712,3.5904,0.0718197,-831,10.069
36,0.0421871,2.6928,0.166523,-992,9.841
37,0.0709103,1.7952,0.161503,-1363,9.995
38,0.0897599,0.897599,0.212477,-1669,10.022
39,0.100531,0.0,0.24879,-1894,10.111
40,0.104121,-0.897599,0.230172,-2072,10.039
41,0.101429,-0.897599,0.240752,-2168,9.786
42,0.0969407,0.0,0.243303,-2152,9.931
43,0.0933503,0.0,0.23872,-2072,10.22
44,0.0906575,0.0,0.268896,-1943,10.039
45,0.0906575,0.897599,0.276095,-1927,10.002
46,0.0924527,0.0,0.272665,-1798,10.0
47,0.0960431,0.897599,0.275595,-1717,10.064
48,0.107712,0.897599,0.274528,-1701,9.851
49,0.108609,0.897599,0.26082,-1620,9.93
50,0.118483,0.897599,0.259071,-1604,10.032
51,0.131049,1.7952,0.264414,-1733,10.164
52,0.159773,1.7952,0.258604,-1637,10.023
53,0.161568,0.897599,0.25261,-1637,10.073
54,0.176827,1.7952,0.270917,-1814,9.744
55,0.191189,0.897599,0.267473,-2023,10.197
56,0.200165,0.0,0.289686,-1927,9.873
57,0.206448,0.0,0.295349,-2055,10.037
58,0.209141,0.0,0.281056,-2088,9.924
59,0.209141,0.0,0.257921,-2055,9.998
60,0.209141,0.0,0.25769,-2055,10.047
61,0.209141,0.0,0.268501,-1991,10.006
62,0.209141,0.0,0.26918,-1943,9.942
63,0.209141,0.0,0.267015,-1894,12.267
64,0.209141,0.0,0.265609,-1846,7.853
65,0.209141,0.0,0.259195,-1782,9.963
66,0.210038,0.0,0.25164,-1701,10.161
67,0.210038,0.0,0.248035,-1637,9.867
68,0.210038,0.0,0.238391,-1572,10.361
69,0.210936,0.0,0.22706,-1572,9.467
70,0.211833,0.0,0.224808,-1443,10.427
71,0.211833,0.0,0.218271,-1443,9.744
72,0.212731,0.897599,0.216317,-1363,9.76
73,0.213629,0.0,0.208445,-1379,10.116
74,0.214526,0.0,0.209778,-1266,10.043
75,0.215424,0.0,0.202073,-1314,10.031
76,0.217219,0.897599,0.192373,-1218,9.978
77,0.219014,0.0,0.188856,-1185,9.904
78,0.220809,0.0,0.189194,-1153,9.938
79,0.222605,0.0,0.176528,-1234,10.085
80,0.2244,0.0,0.167562,-1169,10.11
81,0.2244,0.0,0.161497,-1121,10.049
82,0.2244,0.0,0.159852,-1121,9.861
83,0.2244,0.0,0.162258,-1105,10.068
84,0.2244,0.0,0.15944,-1089,9.913
85,0.2244,0.0,0.161985,-1008,10.077
86,0.2244,0.0,0.161321,-1008,10.161
87,0.225297,0.0,0.159497,-960,9.939
88,0.226195,0.0,0.154022,-944,9.905
89,0.228888,0.897599,0.149073,-928,9.997
90,0.230683,0.0,0.144441,-895,10.035
91,0.233376,0.897599,0.142106,-863,9.949
92,0.235171,0.0,0.131975,-928,10.019
93,0.236069,0.0,0.117444,-831,9.97
94,0.236069,0.0,0.103335,-895,10.045
95,0.236069,0.0,0.107358,-863,10.366
96,0.236069,0.0,0.111058,-863,9.714
97,0.236069,0.0,0.110741,-831,10.071
98,0.236069,0.0,0.112043,-863,9.748
99,0.236069,0.0,0.10881,-831,10.029
100,0.236069,0.0,0.104104,-783,10.281
101,0.236069,0.0,0.0976412,-750,9.774
102,0.236069,0.0,0.0931207,-766,9.959
103,0.236069,0.0,0.0852817,-783,10.553
104,0.236069,0.0,0.0755749,-718,9.616
105,0.236069,0.0,0.0725771,-734,9.868
106,0.236069,0.0,0.0713449,-686,10.34
107,0.236069,0.0,0.0755033,-718,9.723
108,0.236069,0.0,0.0754616,-734,9.875
109,0.236069,0.0,0.0749343,-670,10.192
110,0.236069,0.0,0.0756095,-718,9.852
111,0.236069,0.0,0.0725566,-670,10.003
112,0.236069,0.0,0.0723786,-718,10.282
113,0.236069,0.0,0.0683858,-637,9.763
