q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0.236966,0,0.256052,-1034,10.527
0.236966,0,0.202298,-1083,9.612
0.236966,0,0.192044,-1067,10.648
0.237864,0,0.276975,-1050,9.112
0.240556,0,0.164453,-1034,10.286
0.240556,0,0.259524,-970,9.718
0.242352,0,0.203558,-970,10.327
0.245044,0,0.18189,-986,9.784
0.24684,0,0.267966,-1034,10.319
0.247737,0,0.162403,-1002,9.542
0.248635,0,0.238108,-1034,10.246
0.25043,0,0.175724,-1018,9.872
0.251328,0,0.194167,-1018,9.955
0.25402,0,0.266033,-1018,9.962
0.256713,0.897599,0.166338,-1034,10.339
0.259406,0.897599,0.262479,-1067,9.845
0.265689,0,0.207576,-1002,10.251
0.265689,0,0.208849,-1163,9.983
0.265689,0,0.253112,-1195,9.88
0.265689,0,0.148217,-1099,9.784
0.265689,0,0.2552,-1083,10.246
0.265689,0,0.221554,-1083,9.677
0.266587,0,0.215045,-1050,10.276
0.267484,0,0.278131,-1067,9.714
0.268382,0,0.180643,-1018,10.301
0.271075,0,0.258496,-1034,9.945
0.27287,0,0.200852,-1050,10.178
0.273768,0,0.191968,-1018,9.639
0.274665,0,0.267664,-1067,10.405
0.275563,0,0.165382,-1067,9.581
0.27646,0.897599,0.271194,-1067,10.274
0.277358,0,0.19013,-1034,9.705
0.279153,0,0.225205,-1034,10.331
0.281846,0,0.275448,-1228,9.792
0.284539,0,0.163413,-1083,10.139
0.288129,0,0.266369,-1067,9.807
0.289924,0,0.208257,-1067,9.999
0.290822,0,0.208375,-1131,10.53
0.290822,0,0.268195,-1099,9.461
0.290822,0,0.163667,-1131,10.787
0.290822,0,0.276005,-1163,9.387
0.29172,0,0.213053,-1099,9.817
0.292617,0,0.201519,-1115,10.075
0.292617,0,0.276343,-1131,9.96
0.293515,0,0.154928,-1099,9.947
0.293515,0,0.247121,-1115,10.383
0.293515,0,0.207603,-1067,9.595
0.293515,0,0.196748,-1131,10.066
0.293515,0,0.263553,-1099,10.189
0.293515,0,0.165094,-1099,9.717
0.293515,0,0.27392,-1131,10.399
0.294412,0,0.205021,-1099,9.678
0.296208,0,0.194389,-1067,9.989
0.2989,0,0.261476,-1083,9.868
0.301593,0,0.176656,-1131,10.394
0.303388,0,0.256222,-1115,9.659
0.305184,0,0.174505,-1131,10.034
0.306081,0,0.161577,-1163,10.159
0.306081,0,0.214483,-1163,10.052
0.305184,0,0.179053,-1147,9.94
0.305184,-0.897599,0.221863,-1195,9.947
0.304286,0,0.15604,-1195,9.939
0.303388,-0.897599,0.144534,-1195,10.161
0.302491,-0.897599,0.210562,-1067,9.801
0.301593,0,0.11191,-1163,10.019
0.301593,0,0.222046,-1067,10.359
0.301593,0,0.142066,-1034,9.983
0.301593,0,0.170855,-1147,9.845
0.301593,0,0.233658,-1163,9.848
0.301593,0,0.128589,-1163,10.022
0.301593,0,0.222153,-1179,9.994
0.301593,0,0.154989,-1179,9.949
0.301593,0,0.157383,-1163,10.415
0.301593,0,0.229032,-1163,9.723
0.301593,0,0.114781,-1195,9.877
0.301593,-0.897599,0.217901,-1212,9.91
0.300696,0,0.160627,-1195,10.328
0.300696,0,0.157334,-1195,9.722
0.300696,0,0.221073,-1067,10.097
0.300696,0,0.128459,-1195,9.938
0.300696,0,0.219957,-1163,10.094
0.300696,0,0.173393,-1163,9.888
0.300696,0,0.154007,-1195,10.04
0.300696,0,0.224663,-1163,10.377
0.300696,0,0.121398,-1228,9.767
0.300696,0,0.213497,-1147,9.835
0.300696,0,0.16615,-1228,9.976
0.300696,0,0.164724,-1195,10.028
0.300696,0,0.239179,-1179,10.004
0.300696,0,0.126155,-1195,10.082
0.300696,0,0.231908,-1260,9.919
0.300696,0,0.154865,-1179,10.211
0.300696,0,0.159384,-1195,9.948
0.300696,0,0.223841,-1179,9.834
0.300696,0,0.120837,-1195,10.001
0.300696,0,0.220159,-1195,10.064
0.300696,0,0.165818,-1163,9.929
0.300696,0,0.154774,-1228,10.042
