,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.131947,0.0,0.000698491,109,14.833
1,-0.130152,0.0,-0.00772115,77,5.692
2,-0.129254,0.0,0.00486476,109,9.183
3,-0.128357,0.0,-0.00373539,93,10.078
4,-0.128357,0.0,-0.00405395,77,10.019
5,-0.127459,0.897599,0.00104414,158,14.827
6,-0.124766,0.0,-0.00249875,206,5.923
7,-0.123869,0.0,0.00687071,190,9.338
8,-0.122073,0.897599,0.0115499,45,9.979
9,-0.120278,0.897599,-0.000372461,141,10.28
10,-0.118483,0.0,0.0207238,158,9.653
11,-0.116688,0.0,0.0110451,13,9.993
12,-0.114893,0.0,0.0124103,-4,10.155
13,-0.113097,0.0,0.0134023,45,9.79
14,-0.111302,0.0,0.00807968,45,10.051
15,-0.108609,0.0,0.0203515,45,10.068
16,-0.105917,0.0,0.00749291,-4,9.955
17,-0.102326,0.0,0.0143303,13,10.217
18,-0.101429,0.0,0.0217443,-20,9.914
19,-0.101429,0.0,0.0119809,-20,9.877
20,-0.101429,0.0,0.0244102,-68,9.995
21,-0.101429,0.0,0.019577,-84,9.965
22,-0.101429,0.0,0.029174,-36,10.064
23,-0.101429,0.0,0.0279623,-52,10.081
24,-0.100531,0.0,0.0182369,-52,9.956
25,-0.0978383,0.0,0.0321029,-36,10.184
26,-0.0960431,0.0,0.0171368,-20,9.96
27,-0.0960431,0.0,0.0267293,-52,9.81
28,-0.0942479,0.0,0.0297735,-52,9.968
29,-0.0897599,0.0,0.0257165,-100,10.293
30,-0.0897599,0.897599,0.0390418,-84,9.683
31,-0.0861695,0.897599,0.0382959,-84,10.097
32,-0.0816815,0.0,0.0500289,-116,10.179
33,-0.0700127,0.897599,0.053189,-132,9.963
34,-0.0691151,0.897599,0.0498086,-181,10.347
35,-0.0601391,0.897599,0.0748086,-149,9.4
36,-0.0511631,0.897599,0.0628638,-310,10.026
37,-0.0412895,0.897599,0.0757937,-342,10.009
38,-0.031416,0.897599,0.0831263,-471,9.938
39,-0.0215424,0.897599,0.0839422,-487,10.04
40,-0.013464,0.0,0.109105,-567,10.158
41,-0.00718079,0.897599,0.111553,-696,9.989
42,-0.0017952,0.0,0.129311,-793,9.744
43,0.0017952,0.0,0.140593,-761,10.178
44,0.00538559,0.0,0.143203,-906,9.812
45,0.00807839,0.897599,0.154358,-922,10.151
46,0.0116688,0.0,0.147284,-890,9.864
47,0.0152592,0.897599,0.166942,-906,10.111
48,0.0206448,0.0,0.157886,-1019,10.23
49,0.026928,0.0,0.155846,-922,9.935
50,0.0341088,0.897599,0.166541,-986,9.984
51,0.0421871,0.897599,0.15161,-970,9.858
52,0.0502655,0.0,0.171244,-1019,9.928
53,0.0574463,0.897599,0.174936,-1131,10.442
54,0.0628319,0.0,0.178723,-1180,9.51
55,0.0673199,0.897599,0.200766,-1164,10.101
56,0.0700127,0.0,0.188543,-1325,10.016
57,0.0718079,0.0,0.204155,-1276,10.176
58,0.0727055,0.0,0.20646,-1373,9.913
59,0.0736031,0.0,0.201712,-1293,9.821
60,0.0753983,0.897599,0.216366,-1309,10.19
61,0.0816815,0.0,0.201036,-1293,10.116
62,0.0816815,0.0,0.216421,-1309,9.745
63,0.0870671,0.897599,0.216283,-1325,10.339
64,0.0933503,0.897599,0.205254,-1276,9.591
65,0.100531,0.0,0.225306,-1276,10.089
66,0.108609,0.0,0.212665,-1309,9.853
67,0.114893,0.0,0.220099,-1373,10.318
68,0.121176,0.0,0.213205,-1438,9.747
69,0.126561,0.897599,0.219118,-1470,10.449
70,0.131049,0.897599,0.232578,-1454,9.63
71,0.133742,0.0,0.236519,-1502,9.997
72,0.135537,0.0,0.243733,-1567,9.987
73,0.136435,0.0,0.242221,-1631,10.401
74,0.137333,0.0,0.237004,-1550,9.631
75,0.13823,0.0,0.250713,-1567,10.198
