,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.136435,0.0,-0.0398203,270,12.421
1,-0.136435,0.0,-0.044552,319,3.643
2,-0.136435,0.0,-0.0434715,319,10.976
3,-0.136435,0.0,-0.0551154,270,8.817
4,-0.136435,0.0,-0.0414106,270,10.047
5,-0.136435,0.0,-0.0472987,254,9.905
6,-0.136435,0.0,-0.0454072,270,10.055
7,-0.136435,0.0,-0.0460207,158,12.195
8,-0.136435,0.0,-0.045962,158,7.8
9,-0.136435,0.0,-0.0374234,141,10.044
10,-0.136435,0.0,-0.0448592,270,9.88
11,-0.136435,0.0,-0.0433706,254,10.013
12,-0.136435,0.0,-0.0341383,254,10.005
13,-0.136435,0.0,-0.0463987,254,10.124
14,-0.136435,0.0,-0.0300944,158,10.142
15,-0.136435,0.0,-0.0328084,254,9.823
16,-0.136435,0.0,-0.0285836,141,9.875
17,-0.136435,0.0,-0.0149437,254,10.191
18,-0.136435,0.0,-0.0230477,158,9.795
19,-0.136435,0.0,-0.00215893,141,10.13
20,-0.135537,0.0,-0.00894022,125,9.873
21,-0.135537,0.0,-0.00538559,238,10.273
22,-0.133742,0.0,0.00225552,254,9.677
23,-0.131947,0.897599,-0.00803726,238,10.207
24,-0.129254,0.897599,0.00484554,254,9.723
25,-0.124766,0.897599,0.00216174,254,10.196
26,-0.120278,0.0,0.0140947,174,10.073
27,-0.110405,0.897599,0.0132054,29,10.026
28,-0.109507,0.897599,0.00224354,13,9.832
29,-0.104121,0.897599,0.0213084,93,10.06
30,-0.0996335,0.0,0.0158791,-84,9.954
31,-0.0969407,0.0,0.0266334,-84,10.098
32,-0.0951455,0.0,0.0340778,-116,9.883
33,-0.0951455,0.0,0.0283872,-116,10.055
34,-0.0951455,0.0,0.0469817,-132,9.959
35,-0.0951455,0.0,0.0399738,-132,10.019
36,-0.0942479,0.0,0.0445102,-84,9.915
37,-0.0897599,0.0,0.0531482,-132,10.138
38,-0.0897599,0.897599,0.052198,-116,9.869
39,-0.0843743,0.0,0.0526463,-132,10.384
40,-0.0780911,0.897599,0.0420048,-181,9.61
41,-0.0709103,0.897599,0.0462242,-149,10.32
42,-0.0628319,0.897599,0.0585808,-294,9.709
43,-0.0502655,0.0,0.0533635,-342,10.346
44,-0.0493679,0.0,0.071775,-310,9.575
45,-0.0448799,0.0,0.0669395,-503,10.251
46,-0.0421871,0.0,0.081415,-503,9.864
47,-0.0394943,0.0,0.0901162,-503,10.167
48,-0.0385968,0.0,0.0899171,-535,9.95
49,-0.0368016,0.897599,0.10792,-600,9.965
50,-0.0341088,0.0,0.0981683,-567,9.807
51,-0.0296208,0.897599,0.112293,-519,10.348
52,-0.0242352,0.897599,0.105878,-632,9.69
53,-0.0170544,0.897599,0.105407,-600,10.545
54,-0.00897599,0.897599,0.1258,-664,9.55
55,0.00807839,0.897599,0.116933,-761,9.975
56,0.0161568,0.897599,0.123882,-761,9.979
57,0.0170544,0.0,0.133381,-825,10.012
58,0.0278256,0.0,0.144593,-986,10.179
59,0.0278256,0.0,0.154004,-1051,9.91
60,0.031416,0.897599,0.151927,-954,9.767
61,0.0341088,0.0,0.162039,-1067,10.249
62,0.0368016,0.0,0.178999,-1003,9.803
63,0.0394943,0.0,0.167945,-1148,10.102
64,0.0484703,0.0,0.180373,-1035,10.134
65,0.0484703,0.897599,0.167154,-1051,9.873
66,0.0556511,0.897599,0.180696,-1051,9.929
67,0.0646271,0.897599,0.182881,-1051,10.031
68,0.0807839,0.897599,0.17615,-1180,10.013
69,0.0825791,0.897599,0.200617,-1083,10.101
70,0.0897599,0.897599,0.199687,-1196,9.806
71,0.101429,0.0,0.209949,-1325,10.24
72,0.101429,0.0,0.214282,-1373,9.818
73,0.105019,0.0,0.216838,-1438,9.966
74,0.106814,0.0,0.229905,-1421,10.076
75,0.107712,0.897599,0.224153,-1405,10.014
76,0.109507,0.0,0.231274,-1438,9.998
77,0.1122,0.0,0.237592,-1373,9.945
78,0.11579,0.0,0.225475,-1421,9.982
79,0.120278,0.897599,0.230499,-1373,10.027
80,0.127459,0.897599,0.215151,-1341,10.004
81,0.142718,0.897599,0.223087,-1470,10.213
82,0.143616,0.897599,0.222418,-1405,9.688
83,0.150797,0.897599,0.226981,-1438,10.104
84,0.157977,0.897599,0.238234,-1615,10.047
85,0.163363,0.0,0.234514,-1567,9.939
86,0.166953,0.897599,0.247586,-1599,10.033
87,0.169646,0.0,0.24987,-1631,10.144
88,0.171441,0.0,0.247331,-1599,10.006
89,0.173237,0.0,0.25953,-1663,9.816
90,0.175032,0.897599,0.247619,-1599,10.512
91,0.181315,0.0,0.247767,-1599,9.827
92,0.181315,0.0,0.257037,-1550,9.648
93,0.186701,0.897599,0.256702,-1567,10.153
94,0.191189,0.897599,0.251501,-1534,9.815
95,0.196574,0.0,0.245347,-1502,10.284
96,0.202857,0.0,0.251696,-1550,9.733
97,0.208243,0.897599,0.251535,-1583,10.457
98,0.212731,0.897599,0.243555,-1534,9.638
99,0.217219,0.897599,0.26276,-1599,10.221
100,0.219912,0.0,0.255445,-1679,9.695
101,0.221707,0.897599,0.262192,-1712,10.216
102,0.223502,0.0,0.261402,-1695,9.753
103,0.2244,0.0,0.254648,-1631,10.275
104,0.225297,0.0,0.259652,-1663,9.907
105,0.227093,0.897599,0.246336,-1631,10.158
106,0.228888,0.897599,0.247341,-1567,9.839
107,0.235171,0.0,0.249438,-1534,13.786
108,0.236966,0.0,0.24564,-1550,7.364
109,0.239659,0.897599,0.243103,-1599,9.022
110,0.243249,0.0,0.244421,-1534,9.668
111,0.247737,0.0,0.246812,-1534,10.209
112,0.252225,0.897599,0.240085,-1615,9.894
113,0.255816,0.0,0.244744,-1470,10.155
114,0.260304,0.0,0.249823,-1534,9.721
115,0.263894,0.897599,0.240884,-1599,10.351
116,0.266587,0.0,0.243077,-1502,9.641
117,0.270177,0.897599,0.252842,-1567,10.299
118,0.271972,0.0,0.236974,-1631,9.834
119,0.273768,0.0,0.249299,-1567,10.101
120,0.275563,0.0,0.239161,-1663,9.911
121,0.275563,0.0,0.232701,-1567,10.091
122,0.27646,0.0,0.241927,-1502,9.942
123,0.27646,0.0,0.22577,-1534,10.034
124,0.27646,0.0,0.235739,-1486,9.875
125,0.27646,0.0,0.230766,-1438,10.396
126,0.277358,0.0,0.223328,-1421,9.623
127,0.279153,0.897599,0.228857,-1405,10.929
128,0.280948,0.0,0.214288,-1373,9.055
129,0.282744,0.897599,0.229198,-1373,10.268
130,0.288129,0.0,0.211909,-1405,9.935
131,0.288129,0.0,0.213592,-1341,10.08
132,0.290822,0.0,0.218863,-1405,10.163
133,0.292617,0.0,0.20349,-1373,9.695
134,0.293515,0.0,0.21796,-1276,9.85
135,0.29531,0.0,0.207199,-1341,10.138
136,0.296208,0.0,0.20324,-1293,9.989
137,0.296208,0.0,0.214605,-1276,10.07
138,0.297105,0.0,0.201551,-1244,9.733
139,0.298003,0.0,0.205924,-1244,10.288
140,0.2989,0.0,0.199672,-1260,9.849
141,0.2989,0.0,0.196382,-1244,10.296
142,0.299798,0.0,0.203415,-1212,9.612
143,0.300696,0.0,0.186208,-1212,10.181
144,0.301593,0.0,0.194865,-1212,9.947
145,0.302491,0.0,0.186593,-1180,10.213
146,0.303388,0.897599,0.187321,-1148,9.656
147,0.305184,0.0,0.191316,-1148,10.413
148,0.306081,0.897599,0.18406,-1148,9.638
149,0.307876,0.0,0.18812,-1180,10.247
150,0.309672,0.0,0.181975,-1083,9.921
151,0.310569,0.897599,0.181882,-1115,10.197
152,0.312364,0.0,0.189806,-1083,9.545
153,0.31416,0.0,0.177584,-1051,10.239
154,0.31416,0.0,0.179523,-1148,9.854
155,0.315057,0.0,0.170789,-1067,10.068
156,0.315057,0.0,0.169157,-1051,9.941
157,0.315057,0.0,0.170469,-1019,10.095
158,0.315057,0.0,0.157114,-1051,12.063
159,0.315057,0.0,0.166972,-1019,8.056
160,0.315057,0.0,0.15968,-986,9.799
161,0.315057,0.0,0.156053,-986,10.159
162,0.315057,0.0,0.165592,-954,10.151
163,0.315057,0.0,0.148911,-906,10.032
164,0.315057,0.0,0.159553,-922,9.538
165,0.315955,0.0,0.149484,-922,10.291
166,0.315955,0.0,0.145015,-890,9.949
167,0.315955,0.0,0.149142,-825,10.124
168,0.315955,0.0,0.132876,-890,9.732
169,0.315955,0.0,0.142764,-858,10.369
170,0.315955,0.0,0.134344,-809,10.0
171,0.315955,0.0,0.13005,-841,9.983
172,0.315955,0.0,0.142528,-777,9.704
173,0.315955,0.0,0.127595,-793,10.111
174,0.315955,0.0,0.132722,-793,9.905
175,0.315955,0.0,0.126109,-761,10.096
176,0.315955,0.0,0.12085,-793,9.756
177,0.315955,0.0,0.132294,-745,10.309
178,0.315955,0.0,0.117395,-761,9.824
179,0.315955,0.0,0.124969,-729,10.206
180,0.315955,0.0,0.120983,-761,9.922
181,0.315955,0.0,0.117818,-664,9.965
182,0.315955,0.0,0.128063,-696,9.854
183,0.315955,0.0,0.114964,-713,10.197
184,0.315955,0.0,0.12303,-680,9.883
185,0.315955,0.0,0.118745,-664,10.117
186,0.315955,0.0,0.112589,-632,9.893
187,0.316852,0.0,0.121603,-664,10.421
188,0.316852,0.0,0.108741,-664,9.476
189,0.316852,0.0,0.118564,-600,10.075
190,0.31775,0.0,0.112045,-632,9.936
191,0.31775,0.0,0.109693,-632,10.185
192,0.318648,0.0,0.11965,-584,10.0
193,0.318648,0.0,0.106407,-600,10.152
194,0.319545,0.0,0.115471,-567,9.851
195,0.319545,0.0,0.107661,-600,10.172
196,0.319545,0.0,0.102395,-600,9.752
197,0.319545,0.0,0.114469,-551,10.053
198,0.319545,0.0,0.103664,-567,9.861
199,0.319545,0.0,0.108462,-600,10.622
200,0.320443,0.0,0.103116,-567,9.416
201,0.320443,0.0,0.101929,-551,10.162
202,0.32134,0.0,0.11027,-535,9.757
203,0.32134,0.0,0.0961042,-487,10.27
204,0.32134,0.0,0.104707,-551,9.705
205,0.322238,0.0,0.101198,-567,10.182
206,0.322238,0.0,0.0926414,-503,9.737
207,0.322238,0.0,0.103916,-535,17.694
208,0.322238,0.0,0.105189,-519,2.382
209,0.322238,0.0,0.0951215,-535,10.165
210,0.322238,0.0,0.09123,-535,9.888
211,0.322238,0.0,0.0877172,-471,10.246
212,0.322238,0.0,0.0989158,-519,9.747
213,0.322238,0.0,0.0844653,-503,10.237
214,0.322238,0.0,0.0928148,-503,9.782
215,0.322238,0.0,0.0891502,-487,10.248
216,0.322238,0.0,0.082197,-503,9.754
217,0.322238,0.0,0.0927886,-487,10.124
218,0.322238,0.0,0.0788775,-439,10.147
219,0.322238,0.0,0.0892741,-519,10.249
220,0.322238,0.0,0.0820416,-406,10.058
221,0.322238,0.0,0.0810816,-471,9.769
222,0.322238,0.0,0.0862451,-439,9.822
223,0.322238,0.0,0.073218,-471,9.875
224,0.322238,0.0,0.0858054,-487,10.271
225,0.322238,0.0,0.0812992,-439,9.776
226,0.322238,0.0,0.073952,-455,9.887
227,0.322238,0.0,0.0835724,-439,10.139
