,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0709103,0.0,-0.0328789,93,10.277
1,-0.0709103,0.0,-0.0376037,174,6.351
2,-0.0709103,0.0,-0.0391424,93,9.953
3,-0.0709103,0.0,-0.0409305,190,9.393
4,-0.0709103,0.0,-0.0257647,93,9.813
5,-0.0709103,0.0,-0.0281602,174,10.279
6,-0.0709103,0.0,-0.0206337,174,10.203
7,-0.0709103,0.0,-0.0145046,93,9.802
8,-0.0709103,0.0,-0.0187491,77,9.71
9,-0.0709103,0.0,-0.00131718,77,10.269
10,-0.0709103,0.0,-0.00995318,174,9.807
11,-0.0709103,0.0,-0.002409,174,10.671
12,-0.0709103,0.0,0.00322048,77,9.449
13,-0.0691151,0.0,-0.00780398,109,10.688
14,-0.0673199,0.897599,0.00865467,61,9.122
15,-0.0601391,0.0,-0.00632554,448,10.534
16,-0.0556511,0.0,0.0099112,141,9.627
17,-0.0556511,0.897599,0.00787094,93,10.391
18,-0.0502655,0.0,0.0084822,13,9.85
19,-0.0448799,0.0,0.00852121,-4,9.787
20,-0.040392,0.0,0.0143569,-52,9.773
21,-0.0332112,0.0,0.0236761,-52,10.472
22,-0.0332112,0.897599,0.041121,-116,9.699
23,-0.0305184,0.0,0.0373173,-213,9.914
24,-0.0278256,0.897599,0.056863,-197,9.907
25,-0.0251328,0.0,0.0514101,-261,10.414
26,-0.0215424,0.0,0.062499,-213,9.65
27,-0.013464,0.897599,0.0720771,-310,10.471
28,-0.00718079,0.897599,0.0622904,-294,9.55
29,-0.00628319,0.897599,0.0863615,-277,10.113
30,0.00897599,0.897599,0.0850221,-503,10.012
31,0.00987359,0.897599,0.0884176,-519,10.015
32,0.0188496,0.897599,0.106317,-406,9.926
33,0.0278256,0.897599,0.104525,-632,10.242
34,0.0368016,0.897599,0.11838,-632,9.776
35,0.0529583,0.0,0.112192,-696,10.2
36,0.0619343,0.897599,0.131265,-793,9.754
37,0.0628319,0.0,0.151248,-858,10.546
38,0.0771935,0.897599,0.157606,-970,9.478
39,0.0780911,0.0,0.165431,-1083,10.243
40,0.0843743,0.897599,0.165475,-1051,9.668
41,0.0897599,0.0,0.181139,-1244,10.463
42,0.0942479,0.0,0.187611,-1115,9.856
43,0.0978383,0.897599,0.187608,-1276,9.954
44,0.0996335,0.0,0.201604,-1260,10.246
45,0.101429,0.0,0.204511,-1244,9.672
46,0.102326,0.0,0.205447,-1357,9.766
47,0.105917,0.0,0.207931,-1293,10.452
48,0.105917,0.0,0.202102,-1293,9.645
49,0.108609,0.897599,0.213185,-1228,10.24
50,0.1122,0.0,0.209971,-1244,9.801
51,0.11579,0.0,0.209382,-1276,10.048
52,0.121176,0.0,0.208431,-1276,9.867
53,0.126561,0.897599,0.195861,-1293,10.338
