,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.171441,0.0,-0.0391863,80,14.476
1,-0.171441,0.0,0.0683172,80,3.364
2,-0.170544,0.0,-0.0586812,112,11.165
3,-0.170544,0.0,0.0356193,80,8.826
4,-0.170544,0.0,-0.0566453,80,10.158
5,-0.170544,0.0,-0.0449928,80,10.044
6,-0.170544,0.0,0.0694566,80,10.054
7,-0.170544,0.0,-0.050256,80,9.894
8,-0.170544,0.0,0.0369723,112,10.05
9,-0.169646,0.0,-0.00888053,96,10.014
10,-0.169646,0.0,-0.0433683,96,9.951
11,-0.168749,0.0,0.0620806,96,9.934
12,-0.167851,0.0,-0.0659695,176,10.243
13,-0.167851,0.0,0.0238997,176,9.831
14,-0.167851,0.0,0.0101513,80,10.125
15,-0.167851,0.0,-0.0357721,63,9.955
16,-0.167851,0.0,0.0647288,80,9.935
17,-0.167851,0.0,-0.0674033,80,9.9
18,-0.167851,0.0,0.0484077,112,10.169
19,-0.167851,0.0,0.0315308,80,9.826
20,-0.167851,0.0,-0.0378963,192,10.196
21,-0.167851,0.0,0.0658192,112,9.821
22,-0.167851,0.0,-0.0685672,128,10.13
23,-0.167851,0.0,0.0317427,208,9.922
24,-0.167851,0.0,0.024085,192,10.354
25,-0.167851,0.0,-0.0490443,192,9.587
26,-0.167851,0.0,0.0642154,112,10.641
27,-0.167851,0.0,-0.0629651,257,9.303
28,-0.166953,0.0,0.0143529,208,10.085
29,-0.166953,0.0,0.0297332,144,9.964
30,-0.166953,0.0,-0.055964,112,9.955
31,-0.166056,0.897599,0.0674384,112,10.099
32,-0.165158,0.0,-0.0755209,257,10.147
33,-0.164261,0.0,0.0280696,144,9.805
34,-0.164261,0.0,0.0335131,241,10.004
35,-0.164261,0.0,-0.0330726,144,10.282
36,-0.163363,0.0,0.0616163,144,9.806
37,-0.163363,0.0,-0.0570819,257,11.494
38,-0.161568,0.0,0.0358068,128,8.648
39,-0.16067,0.0,-0.0309702,241,9.818
40,-0.159773,0.897599,-0.0491199,128,10.085
41,-0.157977,0.897599,0.049619,241,10.0
42,-0.154387,0.0,-0.0580118,225,9.877
43,-0.154387,0.0,0.038241,63,9.954
44,-0.153489,0.0,0.0283722,80,10.046
45,-0.152592,0.0,-0.0348159,80,10.031
46,-0.152592,0.0,0.0688045,80,10.363
47,-0.151694,0.0,-0.0486331,176,9.621
48,-0.149899,0.0,0.0292883,63,9.939
49,-0.145411,0.0,0.029697,144,9.94
50,-0.141821,0.0,0.00477302,192,10.223
51,-0.136435,0.897599,-0.00933069,160,9.876
52,-0.130152,0.897599,-0.00930641,-1,10.01
53,-0.122073,0.897599,0.0788493,-17,10.035
54,-0.113097,0.897599,0.0190463,-82,10.278
55,-0.111302,0.897599,0.112543,-65,9.494
56,-0.0897599,0.897599,0.112543,-194,10.228
57,-0.0753983,1.7952,0.112543,-275,9.831
58,-0.0592415,1.7952,0.128996,-339,10.497
59,-0.0430847,1.7952,0.0612216,-468,9.92
60,-0.0260304,1.7952,0.103191,-629,9.658
61,-0.0233376,1.7952,0.201614,-774,9.982
62,0.00628319,1.7952,0.208093,-952,10.356
63,0.00897599,0.897599,0.208093,-1290,9.826
64,0.0215424,0.897599,0.168072,-1177,9.831
65,0.0305184,0.897599,0.168329,-1403,10.049
66,0.0368016,0.0,0.27154,-1306,10.014
67,0.040392,0.0,0.160319,-1451,9.979
68,0.040392,0.0,0.232118,-1532,10.113
69,0.040392,0.0,0.249904,-1500,9.884
70,0.040392,0.0,0.173261,-1500,10.076
71,0.040392,0.0,0.278873,-1451,9.995
72,0.040392,0.0,0.175469,-1403,10.074
73,0.0412895,0.0,0.259398,-1387,9.907
74,0.0421871,0.897599,0.229564,-1355,10.053
75,0.0439823,0.897599,0.276855,-1371,9.81
76,0.0538559,0.897599,0.227052,-1306,10.007
77,0.0547535,0.897599,0.166658,-1306,9.966
78,0.0628319,0.897599,0.271125,-1355,10.204
79,0.0745007,1.7952,0.271356,-1355,9.849
80,0.0870671,1.7952,0.173915,-1371,10.125
81,0.102326,0.897599,0.163811,-1467,10.122
82,0.118483,1.7952,0.310698,-1532,9.936
83,0.132845,0.897599,0.192178,-1693,9.87
84,0.145411,0.897599,0.288534,-1709,10.238
85,0.155285,0.897599,0.262625,-1902,9.715
86,0.16067,0.0,0.357454,-1983,10.173
