,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0520607,0.0,-0.00552838,12,10.773
1,-0.0520607,0.0,0.00219092,12,9.706
2,-0.0520607,0.0,-0.0113925,44,9.332
3,-0.0520607,0.0,0.00385494,44,10.407
4,-0.0520607,0.0,-0.00814535,44,9.503
5,-0.0520607,0.0,-0.0103169,12,9.961
6,-0.0520607,0.0,0.00187313,28,9.998
7,-0.0520607,0.0,-0.0154608,28,10.274
8,-0.0520607,0.0,-0.00633305,12,9.851
9,-0.0520607,0.0,-0.0115209,12,9.911
10,-0.0520607,0.0,-0.0117008,28,10.03
11,-0.0520607,0.0,-0.00216536,44,9.944
12,-0.0520607,0.0,-0.0130464,12,10.49
13,-0.0520607,0.0,-0.000455872,12,9.602
14,-0.0520607,0.0,-0.0081464,12,9.963
15,-0.0520607,0.0,-0.00828088,-20,10.059
16,-0.0520607,0.0,0.00406227,-4,9.917
17,-0.0520607,0.0,-0.0130201,12,10.072
18,-0.0520607,0.0,-0.000194718,12,9.912
19,-0.0520607,0.0,-0.00648753,-4,10.076
20,-0.0520607,0.0,-0.00629653,12,9.92
21,-0.0520607,0.0,0.0042698,12,9.989
22,-0.0520607,0.0,-0.00960765,-4,10.06
23,-0.0520607,0.0,0.00400229,12,9.943
24,-0.0520607,0.0,-0.00038939,-4,10.585
25,-0.0520607,0.0,-0.000793907,12,9.675
26,-0.0520607,0.0,0.0120199,-20,10.448
27,-0.0520607,0.0,0.007638,-4,9.45
28,-0.0520607,0.0,0.0232895,12,9.918
29,-0.0511631,0.897599,0.0160961,28,10.078
30,-0.0493679,0.897599,0.022152,12,9.902
31,-0.0457775,0.897599,0.0190813,125,9.884
32,-0.0412895,0.897599,0.0292612,93,10.043
33,-0.0332112,0.897599,0.0502163,77,10.062
34,-0.0233376,1.7952,0.0447726,-52,9.86
35,-0.0107712,1.7952,0.039774,12,10.173
36,0.0035904,1.7952,0.0516665,-149,9.953
37,0.0206448,1.7952,0.0514417,-181,10.199
38,0.0376992,0.897599,0.0540287,-246,9.685
39,0.0511631,1.7952,0.0702297,-407,9.982
40,0.0655247,0.897599,0.0563908,-536,10.045
41,0.0834767,0.897599,0.109891,-568,10.146
42,0.0843743,0.897599,0.108764,-745,9.989
43,0.0897599,0.0,0.144202,-810,9.835
44,0.0924527,0.0,0.131631,-922,10.029
45,0.0987359,0.0,0.126237,-826,10.265
46,0.0987359,0.897599,0.124203,-729,10.025
47,0.104121,0.897599,0.114553,-632,9.732
48,0.1122,0.897599,0.113651,-616,9.932
49,0.121176,0.897599,0.101836,-471,10.156
50,0.133742,0.897599,0.101836,-439,9.896
51,0.145411,0.897599,0.101836,-584,10.192
52,0.159773,1.7952,0.101836,-536,9.662
53,0.171441,1.7952,0.115277,-600,10.248
54,0.18311,0.897599,0.0996201,-568,9.889
55,0.191189,0.897599,0.118071,-810,10.106
56,0.196574,0.0,0.129631,-826,9.89
57,0.199267,0.0,0.125205,-794,10.126
58,0.200165,0.0,0.13904,-826,9.955
59,0.206448,0.0,0.126533,-697,10.359
60,0.206448,0.897599,0.121414,-632,9.765
61,0.212731,1.7952,0.120671,-536,10.867
62,0.231581,0.897599,0.102922,-504,8.971
63,0.232478,0.897599,0.0987991,-439,10.339
64,0.244147,0.897599,0.0903429,-455,9.647
65,0.253123,0.897599,0.0815927,-568,9.957
66,0.260304,0.897599,0.0949434,-504,10.121
67,0.265689,0.897599,0.0869131,-616,10.446
68,0.268382,0.0,0.100705,-632,9.507
69,0.268382,0.0,0.0832948,-665,10.075
70,0.268382,0.0,0.0866259,-632,10.28
71,0.268382,0.0,0.0991609,-504,9.867
72,0.268382,0.0,0.0782104,-520,9.804
73,0.26928,0.897599,0.0888946,-471,10.027
74,0.270177,0.897599,0.0742681,-375,10.062
75,0.274665,0.897599,0.0765453,-246,17.19
76,0.277358,0.897599,0.0695258,-407,5.367
77,0.279153,0.0,0.064179,-407,7.77
78,0.280948,0.0,0.0634784,-359,10.484
79,0.281846,0.0,0.0578483,-359,9.888
80,0.283641,0.0,0.0581637,-246,9.284
81,0.283641,0.0,0.0597122,-149,10.291
82,0.285436,0.0,0.0439855,-149,11.181
83,0.287232,0.0,0.0597067,-133,9.0
84,0.292617,0.0,0.0418065,-149,12.322
85,0.292617,0.0,0.0386314,-133,7.484
86,0.294412,0.0,0.0440482,-181,9.75
87,0.29531,0.0,0.0317402,-149,9.995
88,0.296208,0.0,0.0352497,-117,10.463
89,0.296208,0.0,0.0272366,-101,9.606
90,0.296208,0.0,0.0232604,-85,9.801
91,0.296208,0.0,0.0316302,-133,10.104
92,0.296208,0.0,0.00963428,-101,9.839
