,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.206448,0.0,-0.0174221,44,17.316
1,-0.206448,0.0,-0.0174221,44,0.109
2,-0.206448,0.0,-0.0197592,44,8.904
3,-0.206448,0.0,-0.00786645,44,9.941
4,-0.206448,0.0,-0.0126639,125,13.126
5,-0.206448,0.0,-0.0184656,141,6.432
6,-0.206448,0.0,-0.0048463,125,10.079
7,-0.206448,0.0,-0.0212187,205,10.362
8,-0.206448,0.0,-0.0143213,205,9.644
9,-0.206448,0.0,-0.0182249,125,10.525
10,-0.206448,0.0,-0.0274716,205,9.465
11,-0.20555,0.0,-0.0211239,270,9.78
12,-0.204653,0.0,-0.0392487,302,10.264
13,-0.202857,0.0,-0.0344749,302,10.006
14,-0.20196,0.0,-0.0413383,350,9.834
15,-0.200165,0.0,-0.0461053,383,10.029
16,-0.199267,0.0,-0.0348472,367,9.832
17,-0.198369,0.0,-0.0486707,399,10.131
18,-0.198369,0.0,-0.0398571,367,10.055
19,-0.198369,0.0,-0.0423954,350,9.952
20,-0.198369,0.0,-0.0480338,350,10.036
21,-0.198369,0.0,-0.0360793,399,10.056
22,-0.197472,0.897599,-0.0529598,415,9.894
23,-0.196574,0.0,-0.044072,431,9.873
24,-0.195677,0.897599,-0.0428234,463,10.117
25,-0.193881,0.897599,-0.0524482,399,10.011
26,-0.192086,0.0,-0.0352605,463,10.089
27,-0.190291,0.0,-0.0457907,367,9.85
28,-0.187598,0.0,-0.0340893,399,9.953
29,-0.17952,0.0,-0.0377712,431,10.069
30,-0.178622,0.897599,-0.0328231,431,10.001
31,-0.171441,0.897599,-0.014069,431,9.981
32,-0.162465,0.897599,-0.0150976,367,9.993
33,-0.150797,1.7952,-0.0201519,334,10.143
34,-0.137333,1.7952,-0.0046302,270,9.908
35,-0.105917,1.7952,0.0168488,173,10.211
36,-0.102326,1.7952,0.0345115,44,9.886
37,-0.0825791,1.7952,0.0296714,-133,9.94
38,-0.0538559,1.7952,0.0550936,-423,10.701
39,-0.0430847,1.7952,0.0747523,-375,9.558
40,-0.0260304,1.7952,0.0764949,-471,9.699
41,-0.0116688,1.7952,0.113437,-745,10.01
42,-0.000897599,0.897599,0.114544,-777,9.967
43,0.00538559,0.0,0.135541,-922,9.983
44,0.00897599,0.0,0.13676,-1003,10.031
45,0.00987359,0.0,0.126543,-955,10.044
46,0.00987359,0.0,0.148699,-890,9.943
