,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.123869,0.0,-0.211695,1293,13.076
1,-0.123869,0.0,-0.132126,1293,7.4
2,-0.123869,0.0,-0.218815,1260,10.079
3,-0.123869,0.0,-0.199685,1260,9.757
4,-0.123869,0.0,-0.126661,1293,9.475
5,-0.123869,0.0,-0.220986,1260,9.998
6,-0.123869,0.0,-0.153489,1260,10.029
7,-0.123869,0.0,-0.129068,1293,10.194
8,-0.123869,0.0,-0.209097,1293,9.832
9,-0.123869,0.0,-0.123607,1293,9.975
10,-0.123869,0.0,-0.223911,1325,9.895
11,-0.123869,0.0,-0.156666,1293,10.355
12,-0.123869,0.0,-0.169177,1293,9.663
13,-0.123869,0.0,-0.209446,1293,10.052
14,-0.123869,0.0,-0.125638,1293,10.518
15,-0.123869,0.0,-0.223986,1260,9.651
16,-0.123869,0.0,-0.148563,1293,10.695
17,-0.123869,0.0,-0.161614,1293,9.342
18,-0.123869,0.0,-0.205081,1260,9.753
19,-0.123869,0.0,-0.110928,1260,10.124
20,-0.123869,0.0,-0.205897,1293,9.853
21,-0.123869,0.0,-0.162913,1293,10.167
22,-0.123869,0.0,-0.121035,1325,10.121
23,-0.123869,0.0,-0.198392,1276,9.743
24,-0.123869,0.0,-0.113888,1293,10.132
25,-0.123869,0.0,-0.1955,1276,9.905
26,-0.123869,0.0,-0.138753,1293,9.995
27,-0.123869,0.0,-0.126836,1260,10.007
28,-0.122971,0.0,-0.171843,1293,9.853
29,-0.122073,0.0,-0.10076,1293,10.073
30,-0.120278,0.0,-0.194953,1260,10.083
31,-0.118483,0.0,-0.0993037,1293,10.47
32,-0.11579,0.0,-0.140953,1260,9.447
33,-0.1122,0.0,-0.145702,1276,10.147
34,-0.107712,0.897599,-0.0666937,1228,9.904
35,-0.101429,0.897599,-0.170413,1228,10.021
36,-0.0924527,0.897599,-0.0717072,1196,10.042
37,-0.0825791,0.897599,-0.164415,1067,9.97
38,-0.0709103,0.897599,-0.0551829,986,10.008
39,-0.0592415,1.7952,-0.0551829,906,9.924
40,-0.0466751,1.7952,-0.152729,809,9.974
41,-0.0341088,0.897599,-0.11108,696,9.98
42,-0.02244,0.897599,-0.051845,551,10.012
43,-0.0125664,0.897599,-0.0550017,358,10.331
44,-0.0017952,0.897599,0.0376,326,9.77
45,0.00807839,0.897599,-0.0611065,181,10.014
46,0.017952,1.7952,0.101126,68,9.932
47,0.0287232,0.897599,0.036669,36,10.148
48,0.0430847,1.7952,0.036669,-158,9.862
49,0.0664223,1.7952,0.036669,-287,10.228
50,0.0700127,1.7952,0.100771,-351,9.647
51,0.0879647,0.0,0.116593,-577,10.932
52,0.0888623,0.0,0.0428262,-802,9.33
53,0.0906575,0.0,0.0651208,-818,9.971
54,0.0906575,0.0,0.162575,-931,9.942
55,0.0906575,0.0,0.0812559,-899,10.033
56,0.0906575,0.0,0.170362,-963,9.915
57,0.0906575,0.897599,0.184559,-963,10.088
58,0.0924527,0.0,0.143861,-963,9.771
59,0.101429,0.897599,0.250933,-931,10.457
60,0.110405,0.897599,0.127786,-1028,9.695
61,0.122073,0.897599,0.172132,-963,10.028
62,0.124766,0.897599,0.15079,-1124,9.907
63,0.137333,0.897599,0.252815,-1157,10.032
64,0.154387,0.897599,0.182111,-1286,9.88
65,0.156182,0.897599,0.174382,-1350,10.095
66,0.163363,0.0,0.254979,-1479,10.108
67,0.167851,0.0,0.237171,-1672,9.893
68,0.169646,0.0,0.208365,-1640,10.042
69,0.169646,0.0,0.286753,-1688,10.161
70,0.169646,0.0,0.197114,-1704,10.219
71,0.169646,0.0,0.288191,-1737,9.802
72,0.171441,0.897599,0.287223,-1769,9.855
73,0.171441,0.0,0.235371,-1753,10.022
74,0.174134,0.0,0.342017,-1737,9.902
75,0.176827,0.897599,0.226867,-1833,10.082
76,0.17952,0.897599,0.302161,-1817,9.929
77,0.184008,0.897599,0.32113,-1801,9.978
78,0.187598,0.897599,0.270649,-1898,10.132
79,0.191189,0.0,0.356687,-1866,10.046
80,0.195677,0.0,0.334149,-1978,9.849
81,0.200165,0.897599,0.371447,-1995,9.978
82,0.20555,0.897599,0.265233,-1995,10.0
83,0.215424,0.0,0.305635,-2027,10.31
84,0.215424,0.897599,0.387188,-2123,10.341
85,0.220809,0.0,0.35238,-2188,9.654
86,0.225297,0.0,0.363953,-2252,9.816
87,0.230683,0.897599,0.355309,-2268,13.303
88,0.231581,0.0,0.32024,-2301,6.782
89,0.231581,0.0,0.408341,-2349,10.373
90,0.231581,0.0,0.304944,-2446,9.466
91,0.231581,0.0,0.362261,-2446,10.03
92,0.231581,0.0,0.400725,-2397,9.965
93,0.231581,0.0,0.333149,-2413,10.43
94,0.231581,0.0,0.425228,-2397,9.639
95,0.231581,0.0,0.336451,-2381,10.134
96,0.232478,0.0,0.409766,-2381,9.944
97,0.233376,0.0,0.411595,-2413,9.805
98,0.235171,0.897599,0.346963,-2381,10.129
99,0.240556,0.0,0.438707,-2430,10.24
100,0.240556,0.0,0.346871,-2413,9.662
101,0.243249,0.897599,0.417336,-2494,10.34
102,0.245044,0.0,0.410694,-2542,9.882
103,0.245942,0.0,0.360319,-2526,10.037
104,0.24684,0.0,0.451731,-2558,9.982
105,0.247737,0.0,0.34739,-2526,9.796
106,0.247737,0.0,0.404939,-2542,10.384
107,0.247737,0.0,0.408562,-2542,9.746
108,0.247737,0.0,0.354086,-2558,9.944
109,0.247737,0.0,0.434729,-2575,10.012
110,0.247737,0.0,0.345907,-2575,9.906
111,0.247737,0.0,0.403165,-2542,10.359
112,0.247737,0.0,0.434708,-2575,9.662
113,0.247737,0.0,0.365842,-2591,10.238
114,0.247737,0.0,0.436327,-2575,9.811
115,0.247737,0.0,0.339737,-2575,10.206
116,0.247737,0.0,0.39265,-2607,9.723
117,0.247737,0.0,0.436523,-2575,10.127
118,0.248635,0.0,0.361266,-2591,9.962
119,0.248635,0.0,0.441276,-2542,10.478
120,0.248635,0.0,0.361177,-2526,9.459
121,0.248635,0.0,0.417089,-2607,10.768
122,0.248635,0.0,0.445662,-2591,9.299
123,0.249532,0.0,0.361709,-2607,9.91
124,0.249532,0.0,0.440086,-2575,10.033
125,0.249532,0.0,0.354528,-2558,9.97
126,0.25043,0.0,0.404294,-2575,10.017
127,0.25043,0.0,0.426058,-2607,10.326
128,0.25043,0.0,0.371,-2575,9.668
129,0.251328,0.0,0.448968,-2607,9.985
130,0.251328,0.0,0.371355,-2639,9.992
131,0.253123,0.897599,0.4215,-2623,10.112
132,0.25402,0.0,0.432722,-2575,9.953
133,0.254918,0.897599,0.372095,-2623,10.113
134,0.256713,0.0,0.447527,-2687,9.841
135,0.257611,0.0,0.357521,-2639,10.255
136,0.257611,0.0,0.42054,-2687,10.106
137,0.257611,0.0,0.452396,-2639,9.638
138,0.257611,0.0,0.370487,-2655,10.025
139,0.258508,0.0,0.450929,-2671,9.969
140,0.258508,0.0,0.380683,-2639,10.003
141,0.258508,0.0,0.414144,-2687,10.094
142,0.258508,0.0,0.412954,-2704,10.226
143,0.259406,0.0,0.374591,-2687,9.87
144,0.259406,0.0,0.465293,-2687,10.186
145,0.259406,0.0,0.366376,-2736,9.835
146,0.260304,0.0,0.408048,-2720,9.787
147,0.260304,0.0,0.45871,-2687,10.176
148,0.260304,0.0,0.371903,-2704,9.881
149,0.260304,0.0,0.460646,-2720,10.034
150,0.261201,0.0,0.366499,-2704,9.934
151,0.261201,0.0,0.432718,-2736,9.971
152,0.262996,0.0,0.422603,-2704,9.985
153,0.263894,0.0,0.382872,-2704,10.236
154,0.264792,0.0,0.462786,-2720,9.703
155,0.265689,0.0,0.380742,-2704,9.967
156,0.266587,0.0,0.409389,-2704,10.623
157,0.266587,0.0,0.457467,-2736,9.491
158,0.266587,0.0,0.375874,-2736,10.713
159,0.266587,0.0,0.459526,-2784,9.283
160,0.266587,0.0,0.377539,-2768,9.99
161,0.266587,0.0,0.430218,-2784,10.009
162,0.266587,0.0,0.455469,-2736,10.192
163,0.267484,0.0,0.375311,-2768,9.904
164,0.267484,0.0,0.467534,-2800,9.953
165,0.267484,0.0,0.372504,-2768,10.016
166,0.267484,0.0,0.431831,-2768,10.28
167,0.267484,0.0,0.464943,-2768,9.652
168,0.267484,0.0,0.380727,-2784,9.995
169,0.267484,0.0,0.466889,-2768,10.292
170,0.267484,0.0,0.372278,-2800,9.713
171,0.267484,0.0,0.420357,-2800,10.014
172,0.267484,0.0,0.452949,-2768,9.996
173,0.267484,0.0,0.353664,-2800,10.055
174,0.267484,0.0,0.448153,-2768,9.824
175,0.267484,0.0,0.357552,-2800,10.143
176,0.267484,0.0,0.404018,-2832,10.047
177,0.267484,0.0,0.437781,-2768,10.168
178,0.267484,0.0,0.351599,-2800,9.677
179,0.267484,0.0,0.450225,-2768,10.229
180,0.267484,0.0,0.351688,-2800,9.796
181,0.267484,0.0,0.380609,-2800,10.065
182,0.267484,0.0,0.428478,-2800,10.092
183,0.267484,0.0,0.346929,-2768,10.008
184,0.267484,0.0,0.431941,-2768,10.086
185,0.267484,0.0,0.335406,-2800,10.037
186,0.267484,0.0,0.392896,-2800,9.776
187,0.267484,0.0,0.427516,-2800,14.408
188,0.267484,0.0,0.332883,-2768,5.655
189,0.267484,0.0,0.431477,-2768,10.108
190,0.267484,0.0,0.344375,-2768,10.246
191,0.267484,0.0,0.395817,-2800,9.916
192,0.267484,0.0,0.440155,-2784,9.743
193,0.267484,0.0,0.359349,-2768,10.665
194,0.267484,0.0,0.438187,-2752,9.248
195,0.267484,0.0,0.350936,-2768,10.103
196,0.267484,0.0,0.397565,-2768,9.956
197,0.267484,0.0,0.440715,-2768,9.969
198,0.267484,0.0,0.356015,-2800,10.042
199,0.267484,0.0,0.43783,-2752,10.153
200,0.267484,0.0,0.349882,-2816,9.775
201,0.267484,0.0,0.399414,-2800,10.066
202,0.267484,0.0,0.4404,-2768,9.941
203,0.267484,0.0,0.357058,-2768,10.212
204,0.267484,0.0,0.440074,-2784,9.784
205,0.267484,0.0,0.34103,-2768,10.14
206,0.267484,0.0,0.382202,-2768,9.784
207,0.267484,0.0,0.436246,-2768,10.19
208,0.267484,0.0,0.351663,-2768,9.934
209,0.267484,0.0,0.438641,-2768,10.069
210,0.267484,0.0,0.353942,-2768,9.878
211,0.267484,0.0,0.408572,-2800,10.036
212,0.267484,0.0,0.428564,-2768,10.298
213,0.267484,0.0,0.359781,-2768,9.767
214,0.267484,0.0,0.441082,-2768,10.024
215,0.267484,0.0,0.344452,-2768,10.028
216,0.267484,0.0,0.390665,-2816,9.843
217,0.267484,0.0,0.445802,-2768,10.076
218,0.267484,0.0,0.350251,-2736,10.007
219,0.267484,0.0,0.448159,-2800,10.041
220,0.267484,0.0,0.37912,-2768,9.921
221,0.267484,0.0,0.415978,-2800,10.339
222,0.267484,0.0,0.412983,-2768,9.83
223,0.267484,0.0,0.365342,-2768,9.959
224,0.267484,0.0,0.445032,-2800,9.856
225,0.267484,0.0,0.383983,-2784,10.157
226,0.267484,0.0,0.424772,-2800,9.804
227,0.267484,0.0,0.438483,-2800,10.057
228,0.267484,0.0,0.356325,-2768,10.523
229,0.267484,0.0,0.443941,-2768,9.605
230,0.267484,0.0,0.355157,-2768,9.865
231,0.267484,0.0,0.393747,-2800,10.231
232,0.267484,0.0,0.424661,-2800,9.735
233,0.267484,0.0,0.34653,-2768,10.189
234,0.267484,0.0,0.432784,-2768,10.008
235,0.267484,0.0,0.346107,-2816,9.89
236,0.267484,0.0,0.38012,-2768,9.932
237,0.267484,0.0,0.418521,-2768,10.213
238,0.267484,0.0,0.341589,-2768,9.891
239,0.267484,0.0,0.426929,-2768,9.908
240,0.267484,0.0,0.327458,-2800,10.068
241,0.267484,0.0,0.385795,-2736,10.02
242,0.267484,0.0,0.427539,-2768,10.078
243,0.267484,0.0,0.330501,-2784,9.885
244,0.267484,0.0,0.433837,-2784,9.975
245,0.267484,0.0,0.357203,-2784,10.031
246,0.267484,0.0,0.397609,-2768,9.958
247,0.267484,0.0,0.434349,-2768,10.114
248,0.267484,0.0,0.347752,-2768,9.896
249,0.267484,0.0,0.436921,-2752,9.93
250,0.267484,0.0,0.34727,-2816,10.114
251,0.267484,0.0,0.4011,-2800,9.994
252,0.267484,0.0,0.440657,-2768,9.916
253,0.267484,0.0,0.351521,-2768,10.16
254,0.267484,0.0,0.436065,-2800,9.84
255,0.267484,0.0,0.367387,-2768,10.022
256,0.267484,0.0,0.397075,-2800,10.223
257,0.267484,0.0,0.436545,-2768,9.777
258,0.267484,0.0,0.356506,-2784,9.968
259,0.267484,0.0,0.432888,-2784,9.98
260,0.267484,0.0,0.374996,-2800,10.029
261,0.267484,0.0,0.406505,-2768,10.171
262,0.267484,0.0,0.442806,-2768,9.887
263,0.267484,0.0,0.351458,-2768,10.378
264,0.267484,0.0,0.440192,-2768,9.557
265,0.267484,0.0,0.345921,-2768,10.736
266,0.267484,0.0,0.383346,-2784,9.266
267,0.267484,0.0,0.426908,-2800,10.43
268,0.267484,0.0,0.349422,-2768,9.896
269,0.267484,0.0,0.428253,-2800,9.75
270,0.267484,0.0,0.361,-2800,10.01
271,0.267484,0.0,0.380704,-2768,9.982
272,0.267484,0.0,0.42553,-2768,10.012
273,0.267484,0.0,0.33239,-2752,10.035
274,0.267484,0.0,0.419425,-2768,9.886
275,0.267484,0.0,0.342039,-2800,10.036
276,0.267484,0.0,0.372525,-2768,9.856
277,0.267484,0.0,0.42361,-2768,10.443
278,0.267484,0.0,0.342655,-2768,9.851
279,0.267484,0.0,0.420585,-2800,9.875
280,0.267484,0.0,0.347548,-2768,9.887
281,0.267484,0.0,0.386974,-2768,10.267
282,0.267484,0.0,0.435906,-2768,9.777
283,0.267484,0.0,0.342089,-2816,10.09
284,0.267484,0.0,0.427117,-2784,9.915
285,0.267484,0.0,0.340002,-2800,10.077
286,0.267484,0.0,0.371478,-2816,10.014
287,0.267484,0.0,0.423963,-2768,10.016
288,0.267484,0.0,0.343335,-2784,9.911
289,0.267484,0.0,0.408281,-2768,10.356
290,0.267484,0.0,0.332015,-2736,9.62
291,0.267484,0.0,0.324115,-2768,10.158
292,0.267484,0.0,0.37166,-2768,9.823
293,0.266587,0.0,0.291139,-2800,10.319
294,0.264792,0.0,0.35799,-2800,9.62
295,0.262099,-0.897599,0.25285,-2752,10.022
296,0.252225,0.0,0.309818,-2752,10.185
297,0.244147,-0.897599,0.284417,-2768,9.78
298,0.234273,-0.897599,0.245633,-2687,10.56
299,0.232478,-0.897599,0.312339,-2591,9.418
300,0.211833,-0.897599,0.288495,-2478,10.978
301,0.20196,-0.897599,0.309238,-2430,9.044
302,0.192086,-1.7952,0.257937,-2381,10.292
303,0.190291,-0.897599,0.199021,-2156,10.083
304,0.18311,-0.897599,0.275224,-2075,9.741
305,0.176827,-0.897599,0.230994,-1898,10.079
306,0.171441,-0.897599,0.201814,-1914,9.832
307,0.165158,-0.897599,0.166705,-1866,10.232
308,0.158875,-0.897599,0.144612,-1785,9.731
309,0.149899,-0.897599,0.216787,-1753,10.163
310,0.131049,-1.7952,0.102587,-1640,10.041
311,0.129254,-0.897599,0.143039,-1624,9.936
312,0.118483,-0.897599,0.0937123,-1527,9.909
313,0.106814,-0.897599,0.102219,-1253,10.16
314,0.0879647,-0.897599,0.165341,-1318,9.926
315,0.0780911,-0.897599,0.0592401,-1173,10.408
316,0.0771935,-0.897599,0.076303,-1060,9.685
317,0.0619343,-0.897599,0.121223,-899,9.839
318,0.0610367,-0.897599,0.0338015,-770,10.116
319,0.0547535,-0.897599,0.115772,-770,9.983
320,0.0430847,0.0,0.00806015,-577,10.052
321,0.0368016,0.0,0.0459929,-625,10.055
322,0.035904,-0.897599,0.0481734,-528,9.779
323,0.0305184,0.0,0.0085738,-480,10.058
324,0.0242352,-0.897599,0.0654719,-399,10.011
325,0.013464,-0.897599,-0.019222,-319,10.208
326,0.0125664,-0.897599,0.00831781,-367,9.803
327,0.00628319,-0.897599,0.0182167,-222,10.004
328,0.0,0.0,0.0543175,-158,9.99
329,-0.00448799,-0.897599,0.00519687,-29,10.231
330,-0.00987359,-0.897599,-0.0628673,4,9.591
331,-0.0143616,-0.897599,-0.023194,4,10.589
332,-0.0188496,0.0,-0.0335158,100,9.466
333,-0.02244,0.0,-0.0835418,132,10.75
334,-0.0260304,0.0,-0.0134621,165,9.389
335,-0.0296208,-0.897599,-0.0864296,165,10.27
336,-0.0323136,0.0,-0.0438404,310,9.866
337,-0.035904,0.0,-0.030828,310,9.781
338,-0.0385968,-0.897599,-0.110454,455,10.013
339,-0.040392,-0.897599,-0.0362974,277,10.176
340,-0.0421871,0.0,-0.138526,277,10.184
341,-0.0430847,0.0,-0.102285,342,9.743
342,-0.0430847,-0.897599,-0.0562815,455,10.01
343,-0.0448799,0.0,-0.134901,455,10.201
344,-0.0448799,0.0,-0.0650883,471,9.849
345,-0.0466751,0.0,-0.138841,487,9.8
346,-0.0493679,0.0,-0.084805,487,9.976
347,-0.0574463,0.0,-0.0859172,422,10.233
348,-0.0583439,0.0,-0.0510766,551,9.811
349,-0.0628319,0.0,-0.0561179,551,9.958
350,-0.0673199,-0.897599,-0.157932,567,9.939
351,-0.0700127,0.0,-0.113431,616,10.158
352,-0.0718079,0.0,-0.0681263,680,10.114
353,-0.0718079,0.0,-0.135661,696,10.408
354,-0.0718079,0.0,-0.0551472,696,9.475
355,-0.0718079,0.0,-0.122385,745,10.155
356,-0.0718079,0.0,-0.10451,777,9.886
357,-0.0718079,0.0,-0.0524073,713,10.081
358,-0.0718079,0.0,-0.168467,745,9.915
359,-0.0718079,0.0,-0.0678366,729,9.994
360,-0.0718079,0.0,-0.139598,745,10.017
361,-0.0718079,0.0,-0.105546,729,10.022
362,-0.0718079,0.0,-0.0468357,745,9.953
363,-0.0718079,0.0,-0.146614,777,10.018
364,-0.0709103,0.0,-0.0480442,745,10.089
365,-0.0709103,0.0,-0.125876,713,10.063
366,-0.0700127,0.0,-0.0922367,745,10.066
367,-0.0700127,0.0,-0.0476251,761,9.874
368,-0.0700127,0.0,-0.143889,713,10.438
369,-0.0700127,0.0,-0.0559573,696,9.6
370,-0.0700127,0.0,-0.12349,696,9.824
371,-0.0700127,0.0,-0.0874525,745,10.036
372,-0.0700127,0.0,-0.0462682,713,10.147
373,-0.0700127,0.0,-0.135095,713,9.848
374,-0.0700127,0.0,-0.0235288,713,10.037
375,-0.0691151,0.0,-0.115572,745,10.074
376,-0.0682175,0.0,-0.052734,745,9.811
377,-0.0673199,0.0,-0.046368,745,10.138
378,-0.0664223,0.0,-0.121579,713,9.862
379,-0.0655247,0.0,-0.0341731,696,10.096
380,-0.0637295,0.0,-0.109019,713,9.974
381,-0.0637295,0.0,-0.0800084,729,10.246
382,-0.0637295,0.897599,-0.0248034,680,9.736
383,-0.0628319,0.0,-0.119054,664,10.075
384,-0.0628319,0.0,-0.0178789,680,10.108
385,-0.0619343,0.0,-0.0871518,567,9.975
386,-0.0601391,0.0,-0.046321,616,9.791
387,-0.0592415,0.0,-0.0156965,648,10.163
