,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.170544,0.0,-0.0902634,582,21.605
1,-0.170544,0.0,-0.0902634,582,0.114
2,-0.170544,0.0,-0.094945,549,7.885
3,-0.170544,0.0,-0.0878312,549,11.643
4,-0.170544,0.0,-0.0921578,582,8.51
5,-0.170544,0.0,-0.0942957,582,10.299
6,-0.170544,0.0,-0.0877027,614,9.564
7,-0.170544,0.0,-0.096035,614,10.377
8,-0.170544,0.0,-0.0936084,614,9.781
9,-0.170544,0.0,-0.0913405,630,10.232
10,-0.170544,0.0,-0.0944475,614,9.68
11,-0.170544,0.0,-0.0893431,598,10.086
12,-0.170544,0.0,-0.0978219,614,9.871
13,-0.170544,0.0,-0.0896853,614,10.099
14,-0.170544,0.0,-0.0929994,646,10.188
15,-0.170544,0.0,-0.0933715,614,9.824
16,-0.170544,0.0,-0.0868288,646,10.607
17,-0.170544,0.0,-0.0944051,662,12.527
18,-0.170544,0.0,-0.0904979,646,6.831
19,-0.170544,0.0,-0.090281,678,10.208
20,-0.170544,0.0,-0.0939443,646,9.779
21,-0.169646,0.0,-0.0879584,678,10.048
22,-0.169646,0.0,-0.0967754,678,9.961
23,-0.169646,0.0,-0.0916144,710,9.983
24,-0.169646,0.0,-0.0908275,710,10.021
25,-0.169646,0.0,-0.093848,710,10.123
26,-0.169646,0.0,-0.0870812,678,9.939
27,-0.168749,0.0,-0.0963576,710,9.932
28,-0.168749,0.0,-0.0904605,710,9.949
29,-0.168749,0.0,-0.0922696,694,10.102
30,-0.167851,0.0,-0.0958496,710,10.156
31,-0.167851,0.0,-0.0890634,710,9.987
32,-0.167851,0.0,-0.0967152,727,9.842
33,-0.167851,0.0,-0.0908113,678,10.235
34,-0.167851,0.0,-0.092492,678,9.712
35,-0.166953,0.0,-0.0966022,710,10.161
36,-0.166953,0.0,-0.090073,710,9.818
37,-0.166953,0.897599,-0.0990767,743,10.095
38,-0.166056,0.0,-0.0912135,727,10.082
39,-0.166056,0.0,-0.0904524,743,9.844
40,-0.166056,0.0,-0.0954659,678,10.018
41,-0.166056,0.0,-0.0887142,694,9.982
42,-0.166056,0.0,-0.0977834,710,9.969
