,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.123869,0.0,-0.0167089,222,11.371
1,-0.123869,0.0,-0.00457365,125,6.638
2,-0.123869,0.0,-0.0175951,222,12.737
3,-0.123869,0.0,-0.00795117,77,7.02
4,-0.123869,0.0,-0.0173241,93,10.283
5,-0.123869,0.0,-0.0147922,77,9.939
6,-0.123869,0.0,-0.00303655,173,9.692
7,-0.123869,0.0,-0.015403,77,9.963
8,-0.123869,0.0,-0.00516476,173,10.459
9,-0.123869,0.0,-0.0113005,173,9.882
10,-0.123869,0.0,-0.0132324,77,9.725
11,-0.123869,0.0,-0.000176401,77,9.925
12,-0.123869,0.0,-0.0151681,173,10.119
13,-0.123869,0.0,-0.0022816,173,9.964
14,-0.123869,0.0,-0.010152,173,10.165
15,-0.123869,0.0,-0.0122284,173,9.842
16,-0.123869,0.0,-0.0011464,173,10.41
17,-0.123869,0.0,-0.0167197,77,9.528
18,-0.123869,0.0,-0.00676348,77,10.146
19,-0.123869,0.0,-0.0094578,93,9.894
20,-0.123869,0.0,-0.0149942,77,10.056
21,-0.123869,0.0,-0.000753947,77,10.067
22,-0.123869,0.0,-0.0135108,77,9.829
23,-0.123869,0.0,-0.00344108,77,9.991
24,-0.123869,0.0,-0.0046698,157,10.106
25,-0.123869,0.0,-0.00943616,77,9.891
26,-0.123869,0.0,0.00390963,77,10.096
27,-0.123869,0.0,-0.0101322,157,9.954
28,-0.123869,0.0,0.000711107,173,10.098
29,-0.123869,0.0,-0.00472511,173,9.885
30,-0.122971,0.0,-0.00227201,93,10.032
31,-0.122073,0.0,0.0068031,77,9.856
32,-0.118483,0.0,-0.00666966,222,10.248
33,-0.114893,0.0,0.0106564,141,9.885
34,-0.114893,0.897599,0.0096217,141,10.0
35,-0.104121,0.897599,0.00647769,189,10.005
36,-0.0960431,0.897599,0.0212161,12,10.211
37,-0.0951455,0.897599,0.0183363,109,9.642
38,-0.0870671,0.897599,0.040106,-85,10.067
39,-0.0771935,0.897599,0.0371051,-117,9.933
40,-0.0664223,0.897599,0.0371051,-52,10.124
41,-0.0529583,1.7952,0.043675,-117,9.833
42,-0.0394943,1.7952,0.043675,-214,10.118
43,-0.0251328,0.897599,0.0379822,-214,9.926
44,-0.0107712,0.897599,0.0379822,-407,10.269
45,0.00538559,1.7952,0.0379822,-568,9.79
46,0.0161568,0.897599,0.100016,-697,10.097
47,0.0332112,0.897599,0.118618,-697,10.013
48,0.0341088,0.897599,0.127936,-890,10.037
49,0.040392,0.0,0.13306,-890,9.864
50,0.0439823,0.0,0.13208,-955,9.963
51,0.0466751,0.0,0.137398,-794,10.381
52,0.0502655,0.897599,0.132495,-761,9.656
53,0.0556511,0.897599,0.129564,-681,9.96
54,0.0646271,0.897599,0.114624,-600,10.119
55,0.0762959,1.7952,0.114624,-616,9.849
56,0.103224,1.7952,0.119449,-471,10.246
57,0.106814,1.7952,0.106193,-439,9.783
58,0.136435,0.897599,0.132286,-552,10.247
59,0.140025,1.7952,0.132286,-794,9.792
60,0.153489,0.897599,0.118026,-729,10.031
61,0.166953,0.897599,0.129079,-922,9.898
62,0.175032,0.0,0.11112,-922,10.095
63,0.181315,0.0,0.124813,-890,9.944
64,0.184008,0.0,0.109368,-922,10.095
65,0.184008,0.0,0.103163,-874,14.736
66,0.184008,0.0,0.114852,-858,5.381
67,0.184008,0.0,0.101207,-810,9.897
68,0.184008,0.0,0.103703,-713,10.067
69,0.184008,0.0,0.101836,-632,9.959
70,0.185803,0.0,0.0898383,-520,10.433
71,0.185803,0.0,0.0957354,-504,9.53
72,0.188496,0.897599,0.0904182,-439,9.963
73,0.192984,0.897599,0.0862279,-310,9.938
74,0.198369,0.897599,0.0669165,-375,10.057
75,0.204653,0.0,0.057892,-375,10.006
76,0.210038,0.897599,0.0492285,-246,10.067
77,0.214526,0.0,0.0382465,-423,10.116
78,0.217219,0.0,0.053738,-214,9.935
79,0.218117,0.0,0.0238428,-375,10.025
80,0.218117,0.0,0.0207795,-391,10.242
81,0.218117,0.0,0.0298545,-262,9.633
82,0.217219,0.0,0.013024,-310,10.008
83,0.217219,-0.897599,0.023574,-294,10.029
84,0.215424,0.0,0.0207564,-359,10.006
85,0.214526,-0.897599,0.0109955,-423,9.849
86,0.213629,0.0,0.0257194,-294,10.519
87,0.213629,0.0,0.0145323,-391,9.755
88,0.213629,0.0,0.0218636,-165,9.758
89,0.213629,0.0,0.0184124,-310,10.232
90,0.213629,0.0,0.0158656,-326,9.862
91,0.213629,0.0,0.0255564,-197,9.929
92,0.213629,0.0,0.0102865,-326,10.247
93,0.213629,0.0,0.0226388,-342,10.079
94,0.213629,0.0,0.016916,-197,9.796
95,0.213629,0.0,0.0117931,-197,9.911
96,0.213629,0.0,0.0274906,-278,9.951
97,0.213629,0.0,0.00918447,-165,10.102
98,0.213629,0.0,0.0206712,-246,9.946
99,0.213629,0.0,0.0224959,-197,10.001
100,0.213629,0.0,0.0134955,-310,10.001
101,0.213629,0.0,0.0268718,-197,9.995
102,0.213629,0.0,0.0116961,-278,10.196
103,0.213629,0.0,0.0180414,-326,9.803
104,0.213629,0.0,0.0190068,-294,10.118
105,0.213629,0.0,0.0124823,-165,9.953
106,0.213629,0.0,0.0267157,-278,9.944
107,0.213629,0.0,0.0119376,-197,9.987
108,0.213629,0.0,0.0223038,-326,10.013
109,0.213629,0.0,0.0218112,-165,9.989
110,0.213629,0.0,0.0156421,-149,10.102
111,0.213629,0.0,0.0277398,-165,9.944
112,0.213629,0.0,0.0131861,-262,10.07
113,0.213629,0.0,0.0205008,-246,9.895
114,0.213629,0.0,0.0200747,-149,10.079
115,0.213629,0.0,0.0126017,-133,9.949
116,0.213629,0.0,0.0244347,-262,10.028
117,0.213629,0.0,0.00579645,-310,9.976
118,0.213629,0.0,0.0159451,-262,10.061
119,0.213629,0.0,0.0133224,-133,10.011
120,0.213629,0.0,0.00868414,-165,9.953
121,0.213629,0.0,0.0243104,-165,10.044
122,0.213629,0.0,0.00985648,-165,10.072
123,0.213629,0.0,0.0200164,-310,10.355
124,0.213629,0.0,0.0151236,-117,9.67
125,0.213629,0.0,0.0112338,-149,9.886
126,0.213629,0.0,0.025276,-149,9.948
127,0.213629,0.0,0.00820829,-165,10.314
128,0.213629,0.0,0.0164264,-181,9.835
129,0.213629,0.0,0.017284,-262,9.813
130,0.213629,0.0,0.0104979,-165,10.008
131,0.213629,0.0,0.0224893,-246,9.98
132,0.213629,0.0,0.00771348,-165,10.037
133,0.213629,0.0,0.0190832,-149,10.137
134,0.213629,0.0,0.0170732,-294,9.838
135,0.213629,0.0,0.00731187,-262,9.993
136,0.213629,0.0,0.0241135,-149,9.964
137,0.213629,0.0,0.0065733,-165,10.436
138,0.213629,0.0,0.0170055,-149,9.634
139,0.213629,0.0,0.0181982,-133,10.004
140,0.213629,0.0,0.00758936,-262,9.993
141,0.213629,0.0,0.0214623,-165,9.966
142,0.213629,0.0,0.00943355,-181,10.141
143,0.213629,0.0,0.0168818,-262,9.862
144,0.213629,0.0,0.0163303,-149,10.116
145,0.213629,0.0,0.0105096,-165,9.882
146,0.213629,0.0,0.0212666,-246,10.052
147,0.213629,0.0,0.0081657,-310,9.958
148,0.213629,0.0,0.0161629,-214,10.296
149,0.213629,0.0,0.015436,-262,9.722
150,0.213629,0.0,0.00869607,-310,10.096
151,0.213629,0.0,0.0234712,-214,9.964
152,0.213629,0.0,0.00743127,-214,10.264
153,0.213629,0.0,0.01965,-197,9.812
154,0.213629,0.0,0.0175853,-133,9.927
155,0.213629,0.0,0.00738549,-278,9.928
156,0.213629,0.0,0.0225229,-326,10.038
157,0.213629,0.0,0.00635387,-294,9.981
158,0.213629,0.0,0.0180942,-165,10.313
159,0.213629,0.0,0.0145171,-165,9.744
160,0.213629,0.0,0.00782518,-165,10.598
161,0.213629,0.0,0.0222805,-310,9.476
162,0.213629,0.0,0.00327294,-262,9.867
163,0.213629,0.0,0.0156831,-310,9.961
164,0.213629,0.0,0.0139107,-310,10.041
165,0.213629,0.0,0.00803648,-165,9.962
166,0.213629,0.0,0.0211352,-246,10.075
