,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.158875,0.0,-0.00927656,109,8.961
1,-0.158875,0.0,-0.0143233,125,9.013
2,-0.158875,0.0,-0.0100585,125,10.667
3,-0.158875,0.0,0.00174748,141,9.133
4,-0.158875,0.0,-0.0152722,109,10.039
5,-0.158875,0.0,-0.00612692,254,9.972
6,-0.158875,0.0,-0.00290806,254,9.979
7,-0.158875,0.0,-0.0136977,205,9.984
8,-0.158875,0.0,0.000174483,125,10.111
9,-0.158875,0.0,-0.0170552,141,9.84
10,-0.158875,0.0,-0.00773894,205,10.053
11,-0.158875,0.0,-0.0105791,157,9.956
12,-0.158875,0.0,-0.014788,109,10.116
13,-0.158875,0.0,-0.00193664,125,9.886
14,-0.158875,0.0,-0.0168257,109,10.03
15,-0.158875,0.0,-0.00564625,109,9.96
16,-0.158875,0.0,-0.00768506,205,10.146
17,-0.158875,0.0,-0.0131466,125,9.922
18,-0.158875,0.0,0.000183677,109,10.368
19,-0.158875,0.0,-0.0141557,189,9.573
20,-0.158875,0.0,-0.00403274,93,9.918
21,-0.158875,0.0,-0.00585159,77,10.349
22,-0.158875,0.0,-0.0076179,77,9.801
23,-0.158875,0.0,0.00767961,109,10.091
24,-0.158875,0.0,-0.00233136,189,10.014
25,-0.158875,0.0,0.00524348,77,9.876
26,-0.158875,0.0,0.0156706,93,10.024
27,-0.157977,0.0,0.00761751,173,9.986
28,-0.156182,0.897599,0.022919,77,9.982
29,-0.151694,0.897599,0.01869,222,9.954
30,-0.13823,1.7952,0.0305149,93,10.044
31,-0.136435,0.897599,0.031216,44,9.939
32,-0.125664,1.7952,0.031216,93,9.891
33,-0.110405,2.6928,0.0386946,-4,10.228
34,-0.0933503,2.6928,0.0449063,12,10.049
35,-0.0718079,2.6928,0.0449063,-36,9.851
36,-0.0511631,2.6928,0.0449063,-278,10.056
37,-0.0287232,1.7952,0.0449063,-326,9.898
38,-0.00628319,1.7952,0.0533823,-487,9.963
39,0.026928,1.7952,0.104593,-713,10.216
40,0.0412895,1.7952,0.119342,-874,10.019
41,0.0430847,1.7952,0.139983,-955,9.775
42,0.0538559,0.897599,0.16904,-1180,10.022
43,0.0628319,0.897599,0.167883,-1132,10.019
44,0.0709103,0.897599,0.145992,-1019,9.977
45,0.0798863,0.897599,0.146273,-826,10.114
46,0.0915551,1.7952,0.134415,-729,10.143
47,0.104121,1.7952,0.134415,-584,9.874
48,0.120278,1.7952,0.103091,-536,9.835
49,0.135537,1.7952,0.0818005,-536,10.073
50,0.151694,0.897599,0.0828618,-471,10.25
51,0.166953,1.7952,0.0818584,-536,9.818
52,0.186701,0.897599,0.0854476,-632,9.999
53,0.188496,0.897599,0.110359,-487,10.163
54,0.194779,0.0,0.111923,-681,9.828
55,0.198369,0.0,0.126117,-794,10.714
56,0.204653,0.0,0.118927,-632,9.294
57,0.20555,0.897599,0.108495,-504,9.92
58,0.222605,0.897599,0.101945,-407,10.172
59,0.2244,1.7952,0.107363,-310,9.746
60,0.252225,1.7952,0.0845268,-230,10.22
61,0.267484,0.897599,0.0627734,-326,9.804
62,0.280948,0.897599,0.0591553,-165,10.155
63,0.281846,0.897599,0.0883111,-407,9.882
64,0.29172,0.897599,0.0785284,-487,10.106
65,0.2989,0.0,0.0998118,-616,9.803
66,0.304286,0.0,0.075026,-439,10.113
67,0.307876,0.0,0.0787353,-906,10.111
68,0.311467,0.0,0.0889743,-310,9.842
69,0.315057,0.897599,0.066226,-359,9.987
70,0.319545,0.897599,0.0676516,-391,10.036
71,0.324033,0.0,0.057122,-181,9.989
72,0.328521,0.0,0.0608732,-214,10.1
73,0.3366,0.0,0.0554314,-181,9.846
74,0.3366,0.0,0.0384456,-214,10.204
75,0.34378,0.0,0.0506833,-68,10.043
76,0.34378,0.0,0.0384757,-165,10.074
77,0.346473,0.0,0.0369732,-52,9.759
78,0.350961,0.0,0.0463017,-85,10.123
79,0.350961,0.0,0.029681,-52,9.891
80,0.351859,0.0,0.0442952,-149,10.175
81,0.352756,0.0,0.0372705,-52,9.753
82,0.353654,0.0,0.0298887,-52,10.047
83,0.354552,0.0,0.0370882,-20,9.961
84,0.356347,0.0,0.016094,-20,10.319
85,0.358142,0.0,0.0198692,-4,9.675
86,0.35904,0.0,0.0131794,12,10.138
87,0.35904,0.0,0.00108038,-4,10.31
88,0.35904,0.0,0.00814852,12,9.712
89,0.35904,0.0,-0.00567932,12,10.021
90,0.35904,0.0,0.0031361,-20,10.254
91,0.35904,0.0,-0.00414859,-20,9.741
92,0.35904,0.0,-0.00309473,-20,11.91
93,0.358142,0.0,-0.000285798,-117,8.034
94,0.358142,-0.897599,-0.014671,-52,10.273
95,0.356347,0.0,-0.00367422,-52,9.686
96,0.354552,-0.897599,-0.0099436,-133,10.154
97,0.351859,0.0,-0.00549922,-36,10.027
98,0.348268,0.0,0.00308491,-68,9.78
99,0.345576,-0.897599,-0.00878329,-20,10.078
100,0.342883,0.0,0.0102567,-165,9.892
101,0.34019,0.0,-0.00152619,-181,10.03
102,0.338395,0.0,-0.00815614,-52,10.226
103,0.337497,0.0,0.00641084,-149,9.836
104,0.337497,0.0,-0.00757342,-36,10.096
105,0.337497,0.0,0.000290732,-20,9.893
106,0.337497,0.0,-0.00428032,-117,10.372
107,0.337497,0.0,-0.00524248,-52,9.697
108,0.337497,0.0,0.00699052,-52,9.933
109,0.3366,0.0,-0.00811523,-165,10.051
110,0.3366,0.0,0.00245514,-165,10.021
111,0.3366,0.0,0.00282878,-149,10.235
112,0.335702,0.0,0.00177578,-181,10.088
113,0.334804,0.0,0.0162465,-165,9.629
114,0.333009,0.0,0.00350905,-181,10.07
115,0.333009,0.0,0.0102553,-197,9.919
116,0.332112,0.0,0.00894881,-181,9.97
117,0.332112,0.0,0.00336332,-181,10.024
118,0.332112,0.0,0.0128986,-181,10.023
119,0.332112,0.0,-0.00188046,-149,9.972
120,0.332112,0.0,0.00617601,-181,10.019
121,0.331214,0.0,0.00363393,-181,10.06
122,0.331214,0.0,0.00418313,-230,9.866
123,0.330316,0.0,0.0150978,-181,10.193
124,0.330316,0.0,0.00332075,-149,9.843
125,0.330316,0.0,0.0153539,-165,10.85
126,0.330316,0.0,0.00894613,-181,9.287
127,0.330316,0.0,0.000950131,-181,9.886
128,0.330316,0.0,0.0155723,-181,10.208
129,0.330316,0.0,-0.00193348,-165,9.812
