,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0412895,0.0,0.00407911,439,32.252
1,-0.0412895,0.0,0.00407911,439,0.119
2,-0.0412895,0.0,0.00407911,439,0.058
3,-0.040392,0.0,-0.0845219,439,7.47
4,-0.0394943,0.0,-0.0651328,406,12.743
5,-0.0385968,0.0,0.0156349,406,7.151
6,-0.0385968,0.897599,-0.0675501,422,11.168
7,-0.0376992,0.0,0.00611136,422,9.047
8,-0.0376992,0.0,-0.0495083,358,9.836
9,-0.0376992,0.0,-0.0668691,277,10.168
10,-0.0376992,0.0,0.0142295,390,9.835
11,-0.0376992,0.0,-0.0895358,422,10.046
12,-0.0376992,0.0,-0.0120964,439,9.963
13,-0.0376992,0.0,-0.0366589,310,10.003
14,-0.0368016,0.0,-0.0415645,277,10.005
15,-0.035904,0.0,0.0287061,277,9.988
16,-0.0332112,0.897599,-0.0732662,374,10.102
17,-0.0296208,0.0,0.00469636,390,10.077
18,-0.0260304,0.897599,-0.0461825,374,9.843
19,-0.0206448,0.897599,-0.0472802,181,10.057
20,-0.0143616,0.897599,0.0420452,326,9.972
21,-0.00807839,0.897599,-0.065043,197,9.883
22,-0.000897599,0.897599,0.0219098,197,10.031
23,0.0125664,0.0,-0.00714672,165,10.004
24,0.0125664,0.897599,0.0167772,100,10.041
25,0.0242352,0.897599,0.0105579,-61,10.259
26,0.0251328,0.897599,0.0369676,-109,9.813
27,0.0305184,0.897599,0.106035,-222,9.97
28,0.0350064,0.0,0.0691666,-287,9.961
29,0.0385968,0.897599,0.0757299,-319,10.046
30,0.0484703,0.0,0.0158087,-383,9.938
31,0.0484703,0.897599,0.0644698,-319,10.026
32,0.0619343,0.897599,0.133483,-448,10.533
33,0.0628319,0.897599,0.0355314,-528,9.635
34,0.0762959,0.897599,0.100271,-560,9.733
35,0.0843743,0.897599,0.172743,-641,10.228
36,0.0852719,0.897599,0.0788035,-705,9.696
37,0.0933503,0.897599,0.193657,-786,10.09
38,0.100531,0.897599,0.146605,-931,10.053
39,0.114893,0.897599,0.194741,-931,10.036
40,0.11579,0.897599,0.240693,-1060,9.96
41,0.122971,0.897599,0.149545,-1124,9.911
42,0.131049,0.897599,0.24697,-1189,10.093
43,0.145411,0.897599,0.203289,-1221,10.175
44,0.146309,0.897599,0.201726,-1318,9.74
45,0.153489,0.897599,0.197561,-1414,10.212
46,0.159773,0.897599,0.174947,-1592,9.871
47,0.165158,0.897599,0.276694,-1559,9.968
48,0.167851,0.0,0.241285,-1624,10.172
49,0.170544,0.0,0.231869,-1737,10.121
