,q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0,-0.0368016,0.0,-0.0292909,342,11.503
1,-0.0368016,0.0,-0.0379977,294,8.542
2,-0.0368016,0.0,-0.0309082,358,12.29
3,-0.0368016,0.0,-0.03493,471,7.433
4,-0.0368016,0.0,-0.0344631,277,10.826
5,-0.0368016,0.0,-0.0329743,439,9.521
6,-0.0368016,0.0,-0.0423801,471,9.607
7,-0.0368016,0.0,-0.0354032,487,10.214
8,-0.0368016,0.0,-0.0348964,471,9.837
9,-0.0368016,0.0,-0.0398285,406,10.092
10,-0.0368016,0.0,-0.0323526,310,9.869
11,-0.0368016,0.0,-0.0407709,422,10.39
12,-0.0368016,0.0,-0.0339721,358,9.622
13,-0.0368016,0.0,-0.0373712,439,10.436
14,-0.0368016,0.0,-0.0418593,471,9.604
15,-0.0368016,0.0,-0.0345164,471,10.021
16,-0.0368016,0.0,-0.0437906,471,10.21
17,-0.0368016,0.0,-0.0399026,374,9.74
18,-0.0368016,0.0,-0.0393953,439,10.518
19,-0.0368016,0.0,-0.0403059,310,9.622
20,-0.0368016,0.0,-0.0356702,439,9.775
21,-0.0368016,0.0,-0.0413927,390,10.032
22,-0.0368016,0.0,-0.0340909,358,10.199
23,-0.0368016,0.0,-0.0329735,487,9.882
24,-0.0368016,0.0,-0.0334435,406,9.936
25,-0.0368016,0.0,-0.0239114,374,10.192
26,-0.0368016,0.0,-0.0303265,277,10.016
27,-0.035904,0.0,-0.0192275,390,9.772
28,-0.0350064,0.897599,-0.00949192,390,10.06
29,-0.031416,0.897599,-0.00298173,390,9.983
30,-0.0260304,0.897599,0.0124926,342,9.939
31,-0.0161568,1.7952,0.0124926,310,10.046
32,-0.0026928,1.7952,0.0122924,294,9.942
33,0.0143616,1.7952,0.0153524,181,10.327
34,0.0520607,2.6928,0.0263328,68,9.84
35,0.0556511,1.7952,0.0297988,-93,9.922
36,0.0753983,1.7952,0.047529,-206,9.85
37,0.103224,0.897599,0.047529,-705,10.212
38,0.104121,0.897599,0.0996704,-673,9.842
39,0.113995,0.897599,0.141402,-883,10.113
40,0.118483,0.0,0.18879,-1124,10.064
41,0.124766,0.0,0.194699,-1157,10.087
42,0.124766,0.897599,0.205841,-1221,9.864
43,0.131947,0.0,0.23124,-1221,10.224
44,0.132845,0.897599,0.226352,-1334,9.592
45,0.139128,0.897599,0.239132,-1318,10.41
46,0.156182,0.897599,0.238376,-1398,9.807
47,0.158875,1.7952,0.237611,-1414,10.073
48,0.171441,1.7952,0.238103,-1511,9.682
49,0.192086,0.897599,0.254271,-1672,10.467
50,0.201062,0.897599,0.272263,-1769,9.565
51,0.20555,0.0,0.285396,-1898,11.085
52,0.20555,0.0,0.309501,-2027,9.073
53,0.20555,0.0,0.307253,-2156,10.126
54,0.20555,0.0,0.3252,-2123,10.099
55,0.20555,0.0,0.348984,-2156,10.08
56,0.207345,0.897599,0.33862,-2123,9.625
57,0.212731,0.897599,0.351348,-2091,10.169
58,0.213629,0.897599,0.346531,-2156,9.911
59,0.219014,0.897599,0.355356,-2188,9.837
60,0.226195,0.897599,0.361738,-2268,10.07
61,0.233376,0.0,0.357553,-2268,10.15
62,0.241454,0.0,0.367301,-2333,9.83
63,0.247737,0.897599,0.365245,-2413,10.469
64,0.25402,0.897599,0.370162,-2430,9.645
65,0.261201,0.0,0.398294,-2526,10.239
66,0.263894,0.897599,0.402875,-2639,9.779
67,0.263894,0.0,0.416914,-2704,10.071
68,0.267484,0.897599,0.417599,-2704,9.742
69,0.273768,0.0,0.416738,-2800,10.339
70,0.273768,0.0,0.417814,-2736,9.916
71,0.27646,0.0,0.404129,-2832,10.029
72,0.278256,0.0,0.370152,-2832,9.831
73,0.278256,0.0,0.354457,-2865,10.016
74,0.277358,0.0,0.352412,-2865,9.995
75,0.277358,0.0,0.353165,-2897,9.994
76,0.275563,0.0,0.341208,-2913,10.036
77,0.273768,0.0,0.355775,-2881,10.112
78,0.271972,0.0,0.358023,-2897,9.933
79,0.270177,0.0,0.354502,-2865,9.873
80,0.26928,0.0,0.358106,-2865,10.196
81,0.26928,0.0,0.344401,-2832,9.879
82,0.26928,0.0,0.339723,-2816,9.922
83,0.26928,0.0,0.335217,-2800,9.992
84,0.268382,-0.897599,0.331818,-2816,9.965
85,0.266587,0.0,0.33703,-2800,9.96
86,0.263894,0.0,0.324732,-2752,10.719
87,0.259406,-0.897599,0.336933,-2720,9.531
