q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.195677,0,-0.0777392,345,12.115
-0.195677,0,-0.0727539,297,5.776
-0.195677,0,-0.0710753,345,13.872
-0.195677,0,-0.0725133,329,5.991
-0.195677,0,-0.0807354,362,9.806
-0.195677,0,-0.0740915,329,10.159
-0.195677,0,-0.0841999,329,10.228
-0.195677,0,-0.0790133,297,9.664
-0.195677,0,-0.0744889,329,10.037
-0.195677,0,-0.0868405,329,9.905
-0.195677,0,-0.0751201,329,10.23
-0.195677,0,-0.0794495,297,10.219
-0.195677,0,-0.0824603,329,9.678
-0.195677,0,-0.0756487,329,9.901
-0.195677,0,-0.0864826,329,10.043
-0.195677,0,-0.0784443,313,9.95
-0.196574,0,-0.0821196,345,10.056
-0.196574,0,-0.0846816,313,9.932
-0.196574,0,-0.0748123,329,10.155
-0.196574,0,-0.0806858,297,9.837
-0.196574,0,-0.0672923,329,10.025
-0.196574,0,-0.0653637,329,9.922
-0.196574,0,-0.0595793,345,10.527
-0.196574,0,-0.0384589,297,9.536
-0.196574,0,-0.0481295,313,10.472
-0.196574,0,-0.0343929,329,9.546
-0.195677,0,-0.0365305,329,9.953
-0.193881,0.897599,-0.0343993,362,10.044
-0.191189,0,-0.0287834,345,10.153
-0.185803,0.897599,-0.0280495,362,9.873
-0.181315,0.897599,-0.0256563,184,10.091
-0.175032,0,-0.0295766,281,9.766
-0.167851,0.897599,-0.020491,200,10.116
-0.16067,0.897599,-0.0336278,200,9.928
-0.153489,0.897599,-0.030313,265,10.033
-0.147206,0.897599,-0.0148004,152,10.07
-0.135537,0,-0.0210688,217,9.952
-0.129254,0.897599,-0.0104434,136,10.034
-0.128357,0.897599,-0.00879659,104,10.002
-0.122073,0.897599,-0.0185128,200,10.071
-0.106814,0.897599,-0.000611472,71,9.954
-0.105917,0.897599,-0.0151329,71,9.846
-0.0915551,0,-0.00749105,7,10.155
-0.0906575,0.897599,-0.00588134,-25,9.807
-0.0843743,0.897599,-0.0126889,-25,10.232
-0.0718079,0,0.00802085,71,9.992
-0.0655247,0.897599,0.00109159,-25,10.184
-0.0637295,0.897599,0.0068673,-57,9.675
-0.0493679,0.897599,0.0119444,-25,10.718
-0.0484703,0.897599,0.0119019,-90,9.556
-0.0412895,0,0.0217036,-90,9.735
-0.0260304,0.897599,0.00786695,-122,10.109
-0.0188496,0.897599,0.00347178,-122,10.134
-0.0107712,0.897599,0.0210095,-57,9.703
-0.00628319,0.897599,0.0268988,-90,10.541
-0.0035904,0.897599,0.0326957,-186,9.588
0.00807839,0,0.0302388,-219,10.366
0.00897599,0,0.0376538,-202,9.513
0.0197472,0,0.0291885,-138,10.091
0.026928,0.897599,0.0201092,-90,9.876
0.0278256,0.897599,0.0341314,-90,10.1
0.0430847,0.897599,0.0267924,-106,10.287
0.0502655,0.897599,0.0368761,-283,9.796
0.0511631,0.897599,0.040312,-283,9.858
0.0628319,0,0.0416468,-315,10.112
0.0628319,0.897599,0.0487619,-347,10.195
0.0682175,0.897599,0.0417089,-347,9.684
0.0727055,0.897599,0.0509177,-283,10.085
0.0780911,0,0.0611149,-380,10.217
0.0834767,0,0.0648168,-380,9.756
0.0879647,0.897599,0.0564284,-364,10.017
0.100531,0.897599,0.04464,-219,10.128
0.101429,0.897599,0.0594958,-283,9.947
0.108609,0.897599,0.0538436,-315,9.968
0.119381,0,0.0573976,-476,10.066
0.123869,0,0.0647831,-444,10.322
0.123869,0.897599,0.0514768,-428,9.737
0.128357,0,0.0521331,-347,9.783
0.132845,0.897599,0.0701822,-315,10.08
0.136435,0,0.0549927,-476,9.96
0.143616,0,0.0716899,-347,10.412
0.143616,0,0.0628577,-476,9.615
0.147206,0,0.0583889,-380,10.02
0.150797,0.897599,0.0655384,-380,10.039
0.155285,0,0.0542245,-299,10.038
0.158875,0.897599,0.0751207,-364,9.794
0.164261,0,0.0618692,-476,10.414
0.164261,0,0.0704733,-428,9.638
0.166056,0.897599,0.0745325,-509,10.195
0.167851,0,0.0571333,-444,9.829
0.169646,0,0.0844616,-412,10.27
0.171441,0,0.0685972,-541,9.791
0.174134,0,0.066093,-444,9.946
0.176827,0,0.0716964,-380,9.978
0.18311,0,0.0638981,-460,10.157
0.186701,0,0.0700301,-412,10.016
0.186701,0,0.0624856,-396,9.85
0.190291,0,0.0655052,-460,10.176
0.195677,0.897599,0.0690854,-364,9.965
0.195677,0,0.0611142,-460,9.959
0.198369,0,0.0859574,-492,9.852
0.199267,0,0.071651,-605,10.024
0.201062,0,0.073569,-444,10.083
0.20196,0,0.0822396,-509,10.011
0.202857,0,0.0677542,-444,10.174
0.207345,0,0.0793335,-444,9.921
0.207345,0,0.0689109,-476,9.908
0.209141,0,0.0681907,-476,9.845
0.211833,0,0.0749519,-444,10.091
0.213629,0.897599,0.0673501,-444,10.175
0.215424,0,0.0775818,-476,10.134
0.217219,0,0.0773163,-509,9.683
0.219014,0,0.0719366,-637,10.735
0.219912,0.897599,0.0747116,-525,9.372
0.221707,0,0.0716369,-509,9.993
0.223502,0,0.0908487,-412,9.866
0.2244,0,0.0721523,-605,10.01
0.226195,0,0.0697881,-525,10.103
0.22799,0,0.080599,-541,10.151
0.230683,0,0.0647994,-541,9.984
0.232478,0,0.0753887,-476,9.929
0.233376,0,0.0743198,-509,9.977
0.234273,0,0.0736814,-509,10.1
0.235171,0,0.0813337,-525,9.754
0.236069,0.897599,0.0707103,-509,10.289
0.236966,0,0.0796254,-509,9.953
0.236966,0,0.0881727,-509,9.905
0.237864,0,0.0747085,-605,9.871
0.237864,0,0.0801921,-509,10.043
0.238761,0,0.0712317,-541,10.35
0.239659,0.897599,0.0798852,-476,9.589
0.241454,0,0.0766089,-541,10.038
0.242352,0,0.0855725,-525,10.225
0.244147,0,0.084024,-621,9.795
0.245044,0,0.070323,-509,10.081
0.247737,0,0.0861053,-541,9.926
0.247737,0.897599,0.076306,-509,10.141
0.249532,0,0.0705075,-492,9.675
0.252225,0,0.0899514,-525,10.223
0.25402,0,0.0692907,-637,10.058
0.25402,0,0.0757532,-541,9.91
0.25402,0,0.0710224,-557,10.019
0.25402,0,0.0726988,-509,10.347
0.254918,0,0.0781142,-541,9.66
0.254918,0,0.0690605,-541,9.996
0.254918,0,0.0819643,-525,9.978
0.255816,0,0.0752769,-541,10.053
0.255816,0,0.0752947,-525,9.907
0.256713,0.897599,0.0804555,-476,9.994
0.257611,0,0.0694796,-573,10.621
0.258508,0,0.0908258,-492,9.482
0.258508,0,0.0741885,-621,9.875
0.259406,0,0.0692226,-509,10.118
0.259406,0,0.0824087,-509,9.872
0.260304,0,0.0707246,-509,10.468
