q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0.168749,0,0.0600547,-347,10.054
0.169646,0,0.0558422,-364,10.121
0.170544,0,0.0660547,-380,9.87
0.171441,0,0.059238,-347,9.868
0.173237,0.897599,0.0682456,-380,10.19
0.175032,0,0.0585315,-315,9.988
0.178622,0.897599,0.0708219,-364,9.745
0.181315,0.897599,0.0638377,-444,10.242
0.184008,0,0.0561393,-380,9.933
0.185803,0,0.0701825,-509,10.023
0.186701,0,0.0451202,-460,10.141
0.186701,0,0.0326252,-380,9.897
0.186701,0,0.0461015,-380,9.901
0.186701,0,0.0338464,-364,10.068
0.186701,0,0.0400217,-364,10.085
0.186701,0,0.0365119,-412,9.868
0.186701,0,0.0284714,-347,10.096
0.186701,0,0.0313583,-380,10.273
0.186701,0,0.0262194,-380,9.67
0.186701,0,0.0345626,-347,10.843
0.186701,0,0.0302595,-347,9.146
0.186701,0,0.0319781,-364,9.914
0.186701,0,0.0378241,-412,10.022
0.186701,0,0.024627,-364,10.043
0.186701,0,0.0285297,-315,10.098
0.186701,0,0.0314812,-396,10.036
0.186701,0,0.0250526,-347,9.941
0.186701,0,0.0377338,-412,9.986
0.186701,0,0.0274048,-380,10.054
0.186701,0,0.0371152,-396,9.882
0.186701,0,0.0343677,-412,9.996
0.186701,0,0.0329394,-364,10.005
0.186701,0,0.0408875,-396,10.047
0.186701,0,0.0302783,-364,9.977
0.186701,0,0.0379192,-396,9.978
0.186701,0,0.0345711,-412,10.096
0.186701,0,0.0311426,-380,9.892
0.186701,0,0.0420524,-396,10.098
0.186701,0,0.0330018,-364,9.913
0.186701,0,0.0409588,-380,10.101
0.186701,0,0.0425678,-364,9.994
0.186701,0,0.03633,-428,9.971
0.186701,0,0.0464053,-380,9.988
0.186701,0,0.0354939,-396,10.112
0.186701,0,0.0431994,-364,10.014
0.186701,0,0.0460571,-347,9.806
0.186701,0,0.044255,-412,10.074
0.186701,0,0.0519474,-412,9.94
0.186701,0,0.0419898,-364,10.034
0.186701,0,0.0477209,-347,10.014
0.186701,0,0.0430888,-364,9.944
0.186701,0,0.0433309,-364,10.217
0.186701,0,0.0520738,-380,10.072
0.186701,0,0.0418128,-364,9.743
0.186701,0,0.0483362,-396,10.508
0.186701,0,0.0492902,-396,9.473
0.186701,0,0.0433602,-396,10.003
0.186701,0,0.0547135,-364,10.196
0.186701,0,0.0447776,-315,9.783
0.186701,0,0.052389,-380,10.108
0.186701,0,0.0502594,-380,9.953
0.186701,0,0.0453639,-396,10.117
0.186701,0,0.0571277,-364,9.836
0.186701,0,0.0461601,-412,10.35
0.186701,0,0.0541323,-380,9.631
0.186701,0,0.0510693,-364,10.381
0.186701,0,0.0511119,-380,9.731
0.186701,0,0.0608511,-396,10.112
0.186701,0,0.0489533,-380,9.785
0.186701,0,0.054317,-347,10.126
0.186701,0,0.0492853,-380,10.035
0.186701,0,0.046423,-380,9.838
0.186701,0,0.0556488,-347,10
0.186701,0,0.0443975,-347,10.076
0.186701,0,0.0524775,-347,9.909
0.186701,0,0.054141,-380,10.057
0.186701,0,0.0478786,-412,9.938
0.186701,0,0.0567795,-347,10.248
0.186701,0,0.0474499,-380,9.771
0.186701,0,0.0531039,-347,10.1
0.186701,0,0.0537289,-380,9.946
0.186701,0,0.0481096,-412,10.022
0.186701,0,0.0600579,-347,9.945
0.186701,0,0.0482778,-347,10.043
0.186701,0,0.0562929,-380,9.95
0.186701,0,0.0558316,-396,10.213
0.186701,0,0.0496565,-347,9.718
0.186701,0,0.0601312,-380,10.044
0.186701,0,0.0466352,-380,10.231
0.186701,0,0.0562065,-347,9.928
0.186701,0,0.0568062,-380,9.875
0.186701,0,0.0499683,-380,10.602
0.186701,0,0.0588803,-347,9.392
0.186701,0,0.0490705,-380,10.004
0.186701,0,0.054463,-347,9.991
0.186701,0,0.0567751,-347,10.089
0.186701,0,0.049195,-380,9.809
0.186701,0,0.0602122,-380,10.351
0.186701,0,0.0502312,-347,9.725
0.186701,0,0.0565723,-396,10.032
0.186701,0,0.0540677,-347,10.058
0.186701,0,0.0497488,-380,9.962
0.186701,0,0.0595649,-412,9.972
0.186701,0,0.0475909,-315,10.019
0.186701,0,0.057637,-347,10.06
0.186701,0,0.0562706,-380,10.006
0.186701,0,0.0485847,-331,9.831
0.186701,0,0.0567913,-380,10.341
0.186701,0,0.0475121,-347,9.724
0.186701,0,0.054374,-380,10.138
0.186701,0,0.055217,-380,9.928
0.186701,0,0.0471888,-347,9.988
0.186701,0,0.059622,-347,10.02
0.186701,0,0.0491753,-315,10.093
0.186701,0,0.0558305,-347,9.856
0.186701,0,0.0554803,-347,9.92
0.186701,0,0.0489199,-347,10.086
0.186701,0,0.0515929,-347,10.327
0.186701,0,0.051594,-347,9.721
0.186701,0,0.0572288,-380,10.135
0.186701,0,0.0535472,-347,9.858
0.186701,0,0.053495,-380,10.058
0.186701,0,0.0650461,-364,10.005
0.186701,0,0.0527657,-299,10.016
0.186701,0,0.059574,-396,9.891
0.186701,0,0.0607215,-347,10.07
0.186701,0,0.0515363,-380,10.221
0.186701,0,0.0582559,-396,9.918
0.186701,0,0.0495362,-347,10.304
0.186701,0,0.0556998,-380,9.679
0.186701,0,0.0583914,-364,9.769
0.186701,0,0.0483797,-380,10.111
0.186701,0,0.0578938,-331,9.91
0.186701,0,0.0460439,-364,10.445
0.186701,0,0.0497365,-396,9.634
0.186701,0,0.0493756,-380,9.97
0.186701,0,0.0407972,-347,9.943
0.186701,0,0.0476934,-380,10.028
0.186701,0,0.034927,-347,9.977
0.186701,0,0.0360525,-347,10.044
0.186701,0,0.0332934,-380,10.02
0.186701,0,0.0220564,-364,10.011
0.186701,0,0.0271935,-347,9.959
0.186701,0,0.00678097,-380,10.037
0.185803,0,0.00850739,-347,10.025
0.184905,0,0.0036597,-347,10.191
0.184905,0,-0.00371628,-396,9.657
0.18311,-0.897599,0.00404163,-380,10.332
0.17952,-0.897599,-0.00432659,-364,9.666
0.175032,-0.897599,-0.000246634,-364,10.224
0.169646,-0.897599,-0.0160884,-251,9.853
0.162465,-0.897599,-0.0202977,-267,10.07
0.146309,-0.897599,-0.0093536,-251,9.858
0.136435,-0.897599,-0.0214507,-251,10.217
0.125664,-0.897599,-0.0161074,-186,9.724
0.113995,-0.897599,-0.0191279,-154,10.363
0.103224,-0.897599,-0.0156786,-154,9.739
0.100531,-1.7952,-0.0293434,-122,9.97
0.0807839,-0.897599,-0.0369973,-90,10.03
0.0789887,-0.897599,-0.0316408,-90,10.072
0.0691151,-0.897599,-0.0447435,39,10.151
0.0529583,-0.897599,-0.0373467,-25,9.82
0.0520607,-0.897599,-0.0340811,-25,9.947
0.0439823,0,-0.0457181,7,10.63
0.0368016,-0.897599,-0.0423595,39,9.391
0.0251328,-0.897599,-0.0398791,71,10.031
0.0242352,-0.897599,-0.0463644,-25,9.909
0.017952,-0.897599,-0.0513405,39,9.974
0.0116688,-0.897599,-0.0625753,136,10.001
0,0,-0.0595421,88,10.292
-0.000897599,-0.897599,-0.0588376,168,9.636
-0.013464,-0.897599,-0.058927,168,10.314
-0.0143616,-0.897599,-0.0536821,39,9.981
-0.026928,-0.897599,-0.0615194,136,10.108
-0.026928,0,-0.0578498,200,9.832
-0.0332112,-0.897599,-0.0641517,168,9.967
-0.0376992,0,-0.0629429,200,9.917
-0.0412895,0,-0.0577652,104,10.026
-0.0448799,0,-0.0655306,233,9.917
-0.0466751,-0.897599,-0.0506676,71,10.012
-0.0493679,0,-0.0521467,55,10.045
-0.0502655,0,-0.0645656,120,10.412
-0.0511631,0,-0.039948,233,9.626
-0.0511631,0,-0.0490956,200,9.905
-0.0511631,0,-0.0516705,88,10.159
-0.0511631,0,-0.0529488,88,9.985
-0.0511631,0,-0.0655577,104,9.939
-0.0511631,0,-0.0594649,184,10.028
-0.0511631,0,-0.0701234,88,10.037
-0.0529583,0,-0.0616746,71,10.064
-0.0547535,0,-0.0610615,71,9.846
-0.0565487,-0.897599,-0.0609837,104,10.133
-0.0592415,-0.897599,-0.0515828,104,9.916
-0.0637295,0,-0.0714161,71,9.858
-0.0637295,0,-0.0658534,233,10.153
-0.0637295,0,-0.0486226,233,9.986
-0.0637295,0,-0.0590148,88,10.023
-0.0637295,0,-0.0538884,168,10.046
-0.0637295,0,-0.0632873,71,10.297
-0.0637295,0,-0.0557672,168,9.77
-0.0637295,0,-0.0529717,88,9.768
-0.0646271,0,-0.0586735,168,10.465
-0.0646271,0,-0.0470958,168,9.748
-0.0646271,0,-0.0594517,71,9.941
-0.0646271,0,-0.0553309,168,9.945
-0.0646271,0,-0.053808,71,10.042
-0.0646271,0,-0.0646299,71,9.967
-0.0646271,0,-0.0507497,168,10.19
-0.0646271,0,-0.0637132,168,9.98
-0.0655247,0,-0.0539718,168,9.904
-0.0664223,0,-0.0515059,71,9.946
-0.0664223,0,-0.0571257,152,10.003
-0.0664223,0,-0.0456508,168,10.042
-0.0664223,0,-0.0507983,71,10.029
-0.0664223,0,-0.0401124,71,9.963
-0.0664223,0,-0.0379787,168,9.95
-0.0664223,0,-0.0467646,71,9.983
-0.0664223,0,-0.0376601,71,10.389
-0.0664223,0,-0.0408814,71,9.619
-0.0664223,0,-0.0319405,71,10.192
-0.0664223,0,-0.0308519,168,9.831
-0.0664223,0,-0.0389613,71,10.065
-0.0664223,0,-0.0293305,71,10.04
-0.0664223,0,-0.0410065,71,10.072
-0.0664223,0,-0.0334108,71,9.78
-0.0664223,0,-0.0309395,71,10.186
-0.0664223,0,-0.0376983,71,9.783
-0.0664223,0,-0.026697,88,10.223
-0.0664223,0,-0.037261,71,9.907
-0.0664223,0,-0.0315955,71,10.027
-0.0664223,0,-0.0295944,71,9.924
-0.0664223,0,-0.0369457,168,9.937
-0.0664223,0,-0.0278974,71,10.025
-0.0664223,0,-0.0378206,168,10.025
-0.0664223,0,-0.0336782,168,10.026
-0.0664223,0,-0.0289294,71,10.566
-0.0664223,0,-0.0384791,71,9.368
-0.0664223,0,-0.0269254,71,10.012
-0.0664223,0,-0.040355,168,10.002
-0.0664223,0,-0.0352529,71,10.015
-0.0664223,0,-0.0345452,88,9.979
-0.0664223,0,-0.0412093,71,10.402
-0.0664223,0,-0.0303237,71,9.922
-0.0664223,0,-0.039789,168,9.798
-0.0664223,0,-0.0347148,168,9.878
-0.0664223,0,-0.0304413,168,10.035
-0.0664223,0,-0.0408758,71,10.121
-0.0664223,0,-0.0325708,88,9.886
-0.0664223,0,-0.0415352,88,10.001
-0.0664223,0,-0.0338763,71,9.965
-0.0664223,0,-0.034064,71,10.039
-0.0664223,0,-0.0420629,71,10.161
-0.0664223,0,-0.0318461,71,9.8
-0.0664223,0,-0.040102,71,10.019
-0.0664223,0,-0.0322354,71,10.187
-0.0664223,0,-0.0307921,71,9.87
-0.0664223,0,-0.0379322,168,9.901
-0.0664223,0,-0.0270304,88,10.085
-0.0664223,0,-0.0372968,71,9.992
-0.0664223,0,-0.0315687,71,10.21
-0.0664223,0,-0.0313493,88,9.814
-0.0664223,0,-0.0375474,71,9.915
-0.0664223,0,-0.0278951,71,10.245
-0.0664223,0,-0.0399323,71,9.761
-0.0664223,0,-0.0327507,168,10.107
-0.0664223,0,-0.0306829,71,10.062
-0.0664223,0,-0.0394651,71,9.86
-0.0664223,0,-0.0293036,168,10.075
-0.0664223,0,-0.0386885,168,9.856
-0.0664223,0,-0.0317568,168,10.1
-0.0664223,0,-0.0287453,88,9.915
-0.0664223,0,-0.0386574,71,10.087
-0.0664223,0,-0.0289675,71,10.394
-0.0664223,0,-0.0353383,71,9.653
-0.0664223,0,-0.0336215,168,9.963
-0.0664223,0,-0.0319704,71,10.025
-0.0664223,0,-0.0378298,71,9.989
-0.0664223,0,-0.0293614,168,9.948
-0.0664223,0,-0.0379867,71,9.994
-0.0664223,0,-0.0340539,71,10.058
-0.0664223,0,-0.0312424,152,10.117
-0.0664223,0,-0.0396156,71,9.802
-0.0664223,0,-0.0274223,168,10.054
-0.0664223,0,-0.0390241,71,10.114
-0.0664223,0,-0.0335893,71,9.894
-0.0664223,0,-0.029174,168,9.956
