q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0.265689,0,0.0492598,-504,10.096
0.265689,0,0.0364603,-552,9.759
0.265689,0,0.130368,-569,10.091
0.265689,0,0.0138727,-569,10.495
0.265689,0,0.127079,-569,9.675
0.265689,0,0.071733,-585,9.781
0.265689,0,0.0468598,-536,10.172
0.265689,0,0.133621,-520,9.878
0.265689,0,0.0146097,-536,10.171
0.265689,0,0.1069,-569,9.836
0.265689,0,0.0759196,-536,10.019
0.265689,0,0.0422353,-504,9.943
0.265689,0,0.132899,-504,10.109
0.265689,0,0.0211915,-536,9.879
0.265689,0,0.119418,-472,10.061
0.265689,0,0.0501125,-520,10.016
0.265689,0,0.0381505,-536,10.091
0.265689,0,0.1212,-472,9.909
0.265689,0,0.0174581,-569,9.998
0.265689,0,0.116693,-552,9.918
0.265689,0,0.0780552,-536,10.042
0.265689,0,0.0409229,-569,9.876
0.265689,0,0.123383,-472,10.326
0.265689,0,0.0236045,-536,9.759
0.265689,0,0.122087,-488,10.042
0.265689,0,0.0583997,-536,10.01
0.265689,0,0.0431675,-504,10.042
0.265689,0,0.125039,-520,9.962
0.265689,0,0.0205563,-520,10.102
0.265689,0,0.1255,-536,9.839
0.265689,0,0.0672344,-569,10.144
0.265689,0,0.055303,-488,9.904
0.265689,0,0.129343,-552,9.983
0.265689,0,0.0220386,-472,9.981
0.265689,0,0.127838,-536,10.075
0.265689,0,0.0750627,-520,9.941
0.265689,0,0.0547246,-536,10.227
0.265689,0,0.124726,-536,9.791
0.265689,0,0.0196676,-536,10.233
0.265689,0,0.127785,-569,9.909
0.265689,0,0.0590626,-569,10.474
0.265689,0,0.0581372,-552,9.395
0.265689,0,0.121345,-488,10.11
0.265689,0,0.0224828,-520,9.943
0.265689,0,0.11583,-536,9.92
0.265689,0,0.0767343,-472,10.067
0.265689,0,0.0515957,-536,10.082
0.265689,0,0.128628,-472,9.976
0.265689,0,0.0195621,-536,9.883
0.265689,0,0.132984,-504,10.465
0.265689,0,0.0496048,-536,9.661
0.265689,0,0.0455935,-552,9.876
0.265689,0,0.131107,-504,10.126
0.265689,0,0.0190155,-504,9.882
0.265689,0,0.132624,-552,10.417
0.265689,0,0.0494718,-504,9.652
0.265689,0,0.0499046,-504,10.003
0.265689,0,0.131851,-504,9.952
0.265689,0,0.017171,-536,10.352
0.265689,0,0.11899,-504,9.596
0.265689,0,0.0647261,-504,10.043
0.265689,0,0.0685147,-504,10.135
0.265689,0,0.1309,-504,9.934
0.265689,0,0.0201324,-472,9.88
0.265689,0,0.113773,-504,10.028
0.265689,0,0.0331088,-504,10.103
0.265689,0,0.0450591,-536,9.95
0.265689,0,0.0993109,-488,10.56
0.265689,0,-0.0175278,-504,9.44
0.265689,0,0.0781644,-536,9.971
0.265689,0,-0.0181632,-504,10.153
0.263894,0,0.00554504,-488,9.854
0.259406,-0.897599,0.0467241,-520,9.874
0.239659,-1.7952,0.0646803,-536,9.924
0.237864,-1.7952,0.041702,-488,10.073
0.203755,-1.7952,-0.0614279,-359,10.04
0.199267,-2.6928,-0.0614279,-182,10.221
0.177725,-1.7952,-0.0614279,-246,9.779
0.137333,-1.7952,-0.0614279,-85,10.109
0.133742,-1.7952,0.0145185,-21,9.852
0.0978383,-0.897599,-0.0676691,-69,10.15
0.0951455,-1.7952,-0.0439141,60,9.892
0.0780911,-1.7952,-0.0782222,-5,9.958
0.0637295,-1.7952,-0.0782222,-37,10.025
0.0511631,-0.897599,0.0105675,108,10.067
0.040392,0,-0.105338,140,10.061
0.0332112,-0.897599,-0.0013725,189,10.166
0.026928,-0.897599,0.00638641,108,9.682
0.0152592,-0.897599,-0.120243,-37,10.346
0.0143616,-0.897599,-0.0142624,189,9.735
0.0017952,-0.897599,-0.122042,157,10.242
0.000897599,-0.897599,-0.0720447,140,9.757
-0.00628319,0,-0.0374548,221,10.201
-0.0143616,-0.897599,-0.133407,205,9.95
-0.0215424,-0.897599,0.00148267,253,9.817
-0.035904,-0.897599,-0.0948803,157,9.901
-0.035904,-0.897599,-0.0503464,221,10.341
-0.0430847,-0.897599,-0.0306286,253,9.773
-0.0484703,-0.897599,-0.134323,286,10.038
-0.0538559,0,-0.129539,205,10.177
-0.0637295,-0.897599,-0.149984,286,9.936
-0.0637295,-0.897599,-0.0986066,318,9.821
-0.0691151,-0.897599,-0.136906,173,10.297
-0.0753983,-0.897599,-0.0587709,382,9.669
-0.0798863,0,-0.0689683,350,10.771
-0.0906575,-0.897599,-0.150571,237,9.388
-0.0906575,-0.897599,-0.0710952,302,10.097
-0.0969407,0,-0.037004,253,9.83
-0.102326,0,-0.0365593,302,9.989
-0.107712,0,-0.0500752,366,10.003
-0.113097,0,-0.135681,237,10.105
-0.118483,0,-0.0607851,269,9.877
-0.123869,0,-0.0355912,253,10.153
-0.129254,0,-0.0270709,205,9.806
-0.133742,0,-0.0262442,350,10.42
-0.137333,-0.897599,-0.102806,366,9.715
-0.140025,0,-0.0942574,334,9.927
-0.140923,0,-0.0241083,221,10.027
-0.140923,0,-0.124643,431,10.318
-0.140923,0,-0.0303743,237,9.626
-0.140923,0,-0.120006,414,10.173
-0.140923,0,-0.115179,302,9.771
-0.140923,0,-0.0417049,253,10.183
-0.140923,0,-0.155256,221,9.929
-0.140923,0,-0.0336828,334,9.921
-0.141821,-0.897599,-0.125443,221,10.094
-0.143616,0,-0.0729379,286,9.965
-0.146309,0,-0.0807605,302,9.926
-0.149001,-0.897599,-0.136579,398,10.187
-0.151694,0,-0.0420394,382,9.913
-0.156182,-0.897599,-0.149035,366,9.912
-0.158875,-0.897599,-0.09034,447,10.098
-0.162465,0,-0.0632455,334,9.851
-0.165158,0,-0.154511,431,10.135
-0.167851,0,-0.0281667,495,10.033
-0.168749,0,-0.112181,366,9.888
-0.169646,0,-0.110488,318,10.031
-0.169646,0,-0.0412329,382,10.255
-0.169646,0,-0.128826,334,9.877
-0.169646,0,-0.0108703,334,10.546
-0.169646,0,-0.0910026,334,9.65
-0.169646,0,-0.0463487,334,9.768
